benchmark,duration_ns,uptime_ns,vm_start_unix_ms
finagle-chirper,4361563419,1520464433,1711114687118
finagle-chirper,3044913324,5956767856,1711114687118
finagle-chirper,2858330563,9072845297,1711114687118
finagle-chirper,3072867220,12001826274,1711114687118
finagle-chirper,2396082208,15143390104,1711114687118
finagle-chirper,3125786074,17611404138,1711114687118
finagle-chirper,2142987220,20802546525,1711114687118
finagle-chirper,1886106170,23023792919,1711114687118
finagle-chirper,1647620482,24973886540,1711114687118
finagle-chirper,1654823006,26700905873,1711114687118
finagle-chirper,1581271845,28446733499,1711114687118
finagle-chirper,1546988241,30107042309,1711114687118
finagle-chirper,1568217392,31744898109,1711114687118
finagle-chirper,1934364733,33404298496,1711114687118
finagle-chirper,1559960746,35415640132,1711114687118
finagle-chirper,1489961644,37032294075,1711114687118
finagle-chirper,1469956201,38602302810,1711114687118
finagle-chirper,1498093476,40162054513,1711114687118
finagle-chirper,1452207894,41735632597,1711114687118
finagle-chirper,1456456302,43252817750,1711114687118
finagle-chirper,1453098931,44805544108,1711114687118
finagle-chirper,1429579134,46325713181,1711114687118
finagle-chirper,1439601050,47819218780,1711114687118
finagle-chirper,1425044690,49322243430,1711114687118
finagle-chirper,1418832495,50810202334,1711114687118
finagle-chirper,1417259968,52292808614,1711114687118
finagle-chirper,1428896400,53774733070,1711114687118
finagle-chirper,1427674160,55267142610,1711114687118
finagle-chirper,1388181334,56757851357,1711114687118
finagle-chirper,1380359544,58216726851,1711114687118
finagle-chirper,1385420289,59668995154,1711114687118
finagle-chirper,1380314611,61141721503,1711114687118
finagle-chirper,1369441117,62600369372,1711114687118
finagle-chirper,1380120265,64039074477,1711114687118
finagle-chirper,1373644052,65486484472,1711114687118
finagle-chirper,1386286851,66953653905,1711114687118
finagle-chirper,1368141663,68406492019,1711114687118
finagle-chirper,1347193728,69846130589,1711114687118
finagle-chirper,1357255944,71257847861,1711114687118
finagle-chirper,1364929973,72687609013,1711114687118
finagle-chirper,1346502488,74133656922,1711114687118
finagle-chirper,1360222923,75579397348,1711114687118
finagle-chirper,1345708597,77002822129,1711114687118
finagle-chirper,1340984621,78417039462,1711114687118
finagle-chirper,1358431919,79822926645,1711114687118
finagle-chirper,1351313736,81244761229,1711114687118
finagle-chirper,1349087634,82659524760,1711114687118
finagle-chirper,1351752795,84071628345,1711114687118
finagle-chirper,1343354872,85486880030,1711114687118
finagle-chirper,1335601029,86902471521,1711114687118
finagle-chirper,1333011446,88305716826,1711114687118
finagle-chirper,1342064299,89701964390,1711114687118
finagle-chirper,1332976534,91107022779,1711114687118
finagle-chirper,1344896776,92502749557,1711114687118
finagle-chirper,1333580590,93920151833,1711114687118
finagle-chirper,1353893566,95317025890,1711114687118
finagle-chirper,1308111390,96734897537,1711114687118
finagle-chirper,1293507351,98106225744,1711114687118
finagle-chirper,1287211450,99466475211,1711114687118
finagle-chirper,1289824916,100817109661,1711114687118
finagle-chirper,1294290375,102169549578,1711114687118
finagle-chirper,1293547985,103527606429,1711114687118
finagle-chirper,1293463092,104891660240,1711114687118
finagle-chirper,1288974157,106274878066,1711114687118
finagle-chirper,1294782161,107635337761,1711114687118
finagle-chirper,1287465631,109001403418,1711114687118
finagle-chirper,1282676809,110353300198,1711114687118
finagle-chirper,1281405394,111701816772,1711114687118
finagle-chirper,1308498727,113056263197,1711114687118
finagle-chirper,1278097601,114436290747,1711114687118
finagle-chirper,1291230040,115777244645,1711114687118
finagle-chirper,1287279716,117131813134,1711114687118
finagle-chirper,1293057070,118481682289,1711114687118
finagle-chirper,1269401832,119842807312,1711114687118
finagle-chirper,1280002473,121175538036,1711114687118
finagle-chirper,1278329826,122531966374,1711114687118
finagle-chirper,1273322544,123881692810,1711114687118
finagle-chirper,1278794775,125227438334,1711114687118
finagle-chirper,1272023033,126569853830,1711114687118
finagle-chirper,1281203131,127909596106,1711114687118
finagle-chirper,1274257540,129253847242,1711114687118
finagle-chirper,1271715946,130592965143,1711114687118
finagle-chirper,1276131862,131932621630,1711114687118
finagle-chirper,1271243989,133282791081,1711114687118
finagle-chirper,1264154031,134627390484,1711114687118
finagle-chirper,1271686544,135963284781,1711114687118
finagle-chirper,1271073336,137306603798,1711114687118
finagle-chirper,1275501752,138649449702,1711114687118
finagle-chirper,1262778046,139996530587,1711114687118
finagle-chirper,1274704701,141336834887,1711114687118
