benchmark,duration_ns,uptime_ns,vm_start_unix_ms
finagle-chirper,4435136289,1645669507,1711114829799
finagle-chirper,3044446275,6153688142,1711114829799
finagle-chirper,2963220006,9276801593,1711114829799
finagle-chirper,3116657669,12317119693,1711114829799
finagle-chirper,3133093213,15501772997,1711114829799
finagle-chirper,2703197754,18710648408,1711114829799
finagle-chirper,1945425957,21475964406,1711114829799
finagle-chirper,1830359357,23496742784,1711114829799
finagle-chirper,1712595519,25401814468,1711114829799
finagle-chirper,1620481324,27184054065,1711114829799
finagle-chirper,1605057888,28858378968,1711114829799
finagle-chirper,1606030348,30519346227,1711114829799
finagle-chirper,1582960795,32199334848,1711114829799
finagle-chirper,1943924414,33852853638,1711114829799
finagle-chirper,1586712925,35861503972,1711114829799
finagle-chirper,1525840778,37496822004,1711114829799
finagle-chirper,1502533694,39072215252,1711114829799
finagle-chirper,1509371643,40638930928,1711114829799
finagle-chirper,1477426512,42213578153,1711114829799
finagle-chirper,1460275752,43759617982,1711114829799
finagle-chirper,1459635769,45292362628,1711114829799
finagle-chirper,1468341339,46824770869,1711114829799
finagle-chirper,1449355247,48360472426,1711114829799
finagle-chirper,1435775267,49888568543,1711114829799
finagle-chirper,1455813116,51398792967,1711114829799
finagle-chirper,1445854651,52926229751,1711114829799
finagle-chirper,1460355110,54436416126,1711114829799
finagle-chirper,1473741832,55959751270,1711114829799
finagle-chirper,1413099269,57496602352,1711114829799
finagle-chirper,1412915826,58972986029,1711114829799
finagle-chirper,1412416813,60457009537,1711114829799
finagle-chirper,1408860869,61957068697,1711114829799
finagle-chirper,1400204831,63437652949,1711114829799
finagle-chirper,1399558184,64914778128,1711114829799
finagle-chirper,1395460830,66385568070,1711114829799
finagle-chirper,1410079518,67851997685,1711114829799
finagle-chirper,1391713390,69325828730,1711114829799
finagle-chirper,1379521116,70790287258,1711114829799
finagle-chirper,1364478929,72242879145,1711114829799
finagle-chirper,1373997604,73671325384,1711114829799
finagle-chirper,1372802584,75116002176,1711114829799
finagle-chirper,1376940976,76553012398,1711114829799
finagle-chirper,1379514616,77998843525,1711114829799
finagle-chirper,1382777972,79441495085,1711114829799
finagle-chirper,1378212933,80888542176,1711114829799
finagle-chirper,1371294531,82330551452,1711114829799
finagle-chirper,1365055416,83774809471,1711114829799
finagle-chirper,1357456257,85204491231,1711114829799
finagle-chirper,1357425132,86625819281,1711114829799
finagle-chirper,1346071337,88059154476,1711114829799
finagle-chirper,1367840600,89471776360,1711114829799
finagle-chirper,1366979013,90902892121,1711114829799
finagle-chirper,1379424576,92342245098,1711114829799
finagle-chirper,1361998806,93785669871,1711114829799
finagle-chirper,1354516648,95214815904,1711114829799
finagle-chirper,1354552965,96641454153,1711114829799
finagle-chirper,1333311274,98059009440,1711114829799
finagle-chirper,1317854533,99454792482,1711114829799
finagle-chirper,1316172017,100840950430,1711114829799
finagle-chirper,1309321630,102221100902,1711114829799
finagle-chirper,1323095451,103594030400,1711114829799
finagle-chirper,1323563870,104980178545,1711114829799
finagle-chirper,1365965465,106375974704,1711114829799
finagle-chirper,1315831226,107805785054,1711114829799
finagle-chirper,1312953658,109185877692,1711114829799
finagle-chirper,1316678937,110561776599,1711114829799
finagle-chirper,1310357000,111941926268,1711114829799
finagle-chirper,1335787251,113325048200,1711114829799
finagle-chirper,1325020156,114723319093,1711114829799
finagle-chirper,1321043293,116112564056,1711114829799
finagle-chirper,1309313933,117505353826,1711114829799
finagle-chirper,1310824975,118887332600,1711114829799
finagle-chirper,1303871295,120262776899,1711114829799
finagle-chirper,1302887207,121633801875,1711114829799
finagle-chirper,1306610406,122999465557,1711114829799
finagle-chirper,1294744139,124368388452,1711114829799
finagle-chirper,1291620981,125726926313,1711114829799
finagle-chirper,1304924834,127082258279,1711114829799
finagle-chirper,1315233857,128450507259,1711114829799
finagle-chirper,1298766054,129837975701,1711114829799
finagle-chirper,1297436079,131215595945,1711114829799
finagle-chirper,1298400237,132576481116,1711114829799
finagle-chirper,1296613261,133937273550,1711114829799
finagle-chirper,1293303380,135297504736,1711114829799
finagle-chirper,1292284612,136652284357,1711114829799
finagle-chirper,1294359472,138007020277,1711114829799
finagle-chirper,1293274981,139364112469,1711114829799
finagle-chirper,1290266048,140719569642,1711114829799
finagle-chirper,1302021784,142072080770,1711114829799
finagle-chirper,1282746881,143450783558,1711114829799
