benchmark,duration_ns,uptime_ns,vm_start_unix_ms
finagle-chirper,4347170452,1471191684,1711115741141
finagle-chirper,3004221266,5893716358,1711115741141
finagle-chirper,2889222697,8976380502,1711115741141
finagle-chirper,3231404279,11933133129,1711115741141
finagle-chirper,2417654932,15240602347,1711115741141
finagle-chirper,3210245266,17727241660,1711115741141
finagle-chirper,1995661843,21016754386,1711115741141
finagle-chirper,1887857428,23074380253,1711115741141
finagle-chirper,1638531698,25038149693,1711115741141
finagle-chirper,1659168372,26757275998,1711115741141
finagle-chirper,1593654322,28503829991,1711115741141
finagle-chirper,1547377317,30173542050,1711115741141
finagle-chirper,1599549623,31788970455,1711115741141
finagle-chirper,1925357479,33456318236,1711115741141
finagle-chirper,1572092313,35439532453,1711115741141
finagle-chirper,1496541332,37060290604,1711115741141
finagle-chirper,1481238306,38607794472,1711115741141
finagle-chirper,1504391165,40153534504,1711115741141
finagle-chirper,1443090012,41723033820,1711115741141
finagle-chirper,1456156301,43238390961,1711115741141
finagle-chirper,1450978464,44757548457,1711115741141
finagle-chirper,1447481082,46271497037,1711115741141
finagle-chirper,1432317424,47800893814,1711115741141
finagle-chirper,1428639606,49295983139,1711115741141
finagle-chirper,1424428876,50788071856,1711115741141
finagle-chirper,1426854147,52276500267,1711115741141
finagle-chirper,1443234670,53775280839,1711115741141
finagle-chirper,1441697874,55290672471,1711115741141
finagle-chirper,1394433567,56809671815,1711115741141
finagle-chirper,1389262827,58277154485,1711115741141
finagle-chirper,1388667634,59728982082,1711115741141
finagle-chirper,1392833113,61207230227,1711115741141
finagle-chirper,1380560263,62672385564,1711115741141
finagle-chirper,1387558700,64123255379,1711115741141
finagle-chirper,1383512541,65587057642,1711115741141
finagle-chirper,1394299668,67037128123,1711115741141
finagle-chirper,1374289847,68495720856,1711115741141
finagle-chirper,1364914581,69932967544,1711115741141
finagle-chirper,1359162643,71369494562,1711115741141
finagle-chirper,1362236255,72800092059,1711115741141
finagle-chirper,1345885597,74225538179,1711115741141
finagle-chirper,1354646770,75634884984,1711115741141
finagle-chirper,1365081037,77052216516,1711115741141
finagle-chirper,1360705340,78480285437,1711115741141
finagle-chirper,1346284264,79903713034,1711115741141
finagle-chirper,1358721857,81313644281,1711115741141
finagle-chirper,1362915471,82734096711,1711115741141
finagle-chirper,1362705430,84159743499,1711115741141
finagle-chirper,1355785779,85586142966,1711115741141
finagle-chirper,1336365462,87014796374,1711115741141
finagle-chirper,1334526378,88422489518,1711115741141
finagle-chirper,1337396716,89828971334,1711115741141
finagle-chirper,1351830755,91243559823,1711115741141
finagle-chirper,1347452394,92668564879,1711115741141
finagle-chirper,1345563405,94078772141,1711115741141
finagle-chirper,1351977161,95497118524,1711115741141
finagle-chirper,1310262805,96916733457,1711115741141
finagle-chirper,1301365519,98299491485,1711115741141
finagle-chirper,1300757580,99663106594,1711115741141
finagle-chirper,1295211709,101032475066,1711115741141
finagle-chirper,1315119702,102395022995,1711115741141
finagle-chirper,1283106951,103783199580,1711115741141
finagle-chirper,1287723518,105139704194,1711115741141
finagle-chirper,1301512970,106504311231,1711115741141
finagle-chirper,1299486697,107868395401,1711115741141
finagle-chirper,1289237822,109238863129,1711115741141
finagle-chirper,1295945073,110590874897,1711115741141
finagle-chirper,1300219137,111949973862,1711115741141
finagle-chirper,1320218354,113326991843,1711115741141
finagle-chirper,1299617271,114718934287,1711115741141
finagle-chirper,1292850454,116080799320,1711115741141
finagle-chirper,1293445424,117438444642,1711115741141
finagle-chirper,1289781342,118794472388,1711115741141
finagle-chirper,1289288036,120146310641,1711115741141
finagle-chirper,1285402922,121499490735,1711115741141
finagle-chirper,1285593400,122848229061,1711115741141
finagle-chirper,1294053971,124201132079,1711115741141
finagle-chirper,1277422780,125560359874,1711115741141
finagle-chirper,1284744499,126900694738,1711115741141
finagle-chirper,1283575883,128248239771,1711115741141
finagle-chirper,1285649910,129594702443,1711115741141
finagle-chirper,1274002877,130942561471,1711115741141
finagle-chirper,1265093699,132279010468,1711115741141
finagle-chirper,1284511440,133608387761,1711115741141
finagle-chirper,1287906963,134956416161,1711115741141
finagle-chirper,1279925607,136310962640,1711115741141
finagle-chirper,1279415121,137654013777,1711115741141
finagle-chirper,1281055361,139009984448,1711115741141
finagle-chirper,1273503087,140362103205,1711115741141
finagle-chirper,1283421290,141699144732,1711115741141
