benchmark,duration_ns,uptime_ns,vm_start_unix_ms
finagle-chirper,4480684272,1413392590,1711115406914
finagle-chirper,3219253613,5965491540,1711115406914
finagle-chirper,3273426761,9260422295,1711115406914
finagle-chirper,4258463223,12600094891,1711115406914
finagle-chirper,2647013534,16947231635,1711115406914
finagle-chirper,2351082606,19659558994,1711115406914
finagle-chirper,2224758373,22094413254,1711115406914
finagle-chirper,2091963635,24401776240,1711115406914
finagle-chirper,2031258555,26583650422,1711115406914
finagle-chirper,1986163983,28671564833,1711115406914
finagle-chirper,1981056391,30713421628,1711115406914
finagle-chirper,1934310066,32749740824,1711115406914
finagle-chirper,1965178023,34734632182,1711115406914
finagle-chirper,2255136893,36755293462,1711115406914
finagle-chirper,1944763572,39068392061,1711115406914
finagle-chirper,1883739388,41071391602,1711115406914
finagle-chirper,1851942606,43006478434,1711115406914
finagle-chirper,1918634808,44920762632,1711115406914
finagle-chirper,1838451604,46890118169,1711115406914
finagle-chirper,1830195007,48785123201,1711115406914
finagle-chirper,1823110716,50668118655,1711115406914
finagle-chirper,1824729856,52547676271,1711115406914
finagle-chirper,1807088099,54424292117,1711115406914
finagle-chirper,1803731215,56287238650,1711115406914
finagle-chirper,1806782354,58140918733,1711115406914
finagle-chirper,1803668905,59998262273,1711115406914
finagle-chirper,1835037809,61875811257,1711115406914
finagle-chirper,1813479864,63774684897,1711115406914
finagle-chirper,1778819318,65658712011,1711115406914
finagle-chirper,1759244352,67494614605,1711115406914
finagle-chirper,1771978205,69304573119,1711115406914
finagle-chirper,1757218049,71133518950,1711115406914
finagle-chirper,1746124191,72944189917,1711115406914
finagle-chirper,1767615336,74740056079,1711115406914
finagle-chirper,1754462495,76558747977,1711115406914
finagle-chirper,1752789455,78364059572,1711115406914
finagle-chirper,1736455426,80170923419,1711115406914
finagle-chirper,1727109794,81957723170,1711115406914
finagle-chirper,1718601249,83735163116,1711115406914
finagle-chirper,1706396438,85503607797,1711115406914
finagle-chirper,1714814671,87260933935,1711115406914
finagle-chirper,1709169939,89026183379,1711115406914
finagle-chirper,1721938072,90789721851,1711115406914
finagle-chirper,1727344974,92561344579,1711115406914
finagle-chirper,1721441739,94343693347,1711115406914
finagle-chirper,1718162046,96117999525,1711115406914
finagle-chirper,1704771924,97886256717,1711115406914
finagle-chirper,1716677562,99641473567,1711115406914
finagle-chirper,1699761633,101408208956,1711115406914
finagle-chirper,1701347025,103157673187,1711115406914
finagle-chirper,1711126390,104911884876,1711115406914
finagle-chirper,1715061418,106673604176,1711115406914
finagle-chirper,1720158960,108439221343,1711115406914
finagle-chirper,1722476635,110208870077,1711115406914
finagle-chirper,1723281062,111981591953,1711115406914
finagle-chirper,1709016499,113754221534,1711115406914
finagle-chirper,1684216946,115513346956,1711115406914
finagle-chirper,1652923451,117247701474,1711115406914
finagle-chirper,1656686035,118950460369,1711115406914
finagle-chirper,1651917664,120660888616,1711115406914
finagle-chirper,1652908908,122364065948,1711115406914
finagle-chirper,1652499679,124073825755,1711115406914
finagle-chirper,1654848104,125783120633,1711115406914
finagle-chirper,1673387703,127494084436,1711115406914
finagle-chirper,1695194440,129217306966,1711115406914
finagle-chirper,1658101123,130967411346,1711115406914
finagle-chirper,1639929525,132679633612,1711115406914
finagle-chirper,1648362345,134371023497,1711115406914
finagle-chirper,1655777087,136071672973,1711115406914
finagle-chirper,1639735476,137778479439,1711115406914
finagle-chirper,1656012395,139476207242,1711115406914
finagle-chirper,1646299244,141183038751,1711115406914
finagle-chirper,1652470652,142880813530,1711115406914
finagle-chirper,1655690340,144585299531,1711115406914
finagle-chirper,1624411630,146292651458,1711115406914
finagle-chirper,1636591253,147975881965,1711115406914
finagle-chirper,1632742852,149666042244,1711115406914
finagle-chirper,1639877133,151359910565,1711115406914
finagle-chirper,1637717330,153060064093,1711115406914
finagle-chirper,1623166954,154765680746,1711115406914
finagle-chirper,1655145583,156446656873,1711115406914
finagle-chirper,1623155653,158157834782,1711115406914
finagle-chirper,1627188730,159852013745,1711115406914
finagle-chirper,1634310444,161538457941,1711115406914
finagle-chirper,1650089688,163238306631,1711115406914
finagle-chirper,1631813933,164945509256,1711115406914
finagle-chirper,1624511799,166629251709,1711115406914
finagle-chirper,1631264579,168311554391,1711115406914
finagle-chirper,1642294591,170007009739,1711115406914
finagle-chirper,1618859343,171704441633,1711115406914
