benchmark,duration_ns,uptime_ns,vm_start_unix_ms
finagle-chirper,4423862670,1644496907,1711115580306
finagle-chirper,3054958382,6151212873,1711115580306
finagle-chirper,2876621601,9274958994,1711115580306
finagle-chirper,3214020758,12226100303,1711115580306
finagle-chirper,2631419499,15508103575,1711115580306
finagle-chirper,3456961529,18208074005,1711115580306
finagle-chirper,2244060441,21742272393,1711115580306
finagle-chirper,1950498302,24051619287,1711115580306
finagle-chirper,1903859968,26077337910,1711115580306
finagle-chirper,1820995015,28058512422,1711115580306
finagle-chirper,1827629381,29966374722,1711115580306
finagle-chirper,1772538121,31880841353,1711115580306
finagle-chirper,1778336145,33731203621,1711115580306
finagle-chirper,2101495890,35596564379,1711115580306
finagle-chirper,1784372666,37778286100,1711115580306
finagle-chirper,1711346196,39615888336,1711115580306
finagle-chirper,1720216819,41388632414,1711115580306
finagle-chirper,1706967737,43195492669,1711115580306
finagle-chirper,1657210335,44991840238,1711115580306
finagle-chirper,1655783662,46706238556,1711115580306
finagle-chirper,1651217841,48417581319,1711115580306
finagle-chirper,1651701687,50144000911,1711115580306
finagle-chirper,1640026677,51848040315,1711115580306
finagle-chirper,1634731143,53537644675,1711115580306
finagle-chirper,1644442826,55229722195,1711115580306
finagle-chirper,1626084238,56935670322,1711115580306
finagle-chirper,1653383847,58630889750,1711115580306
finagle-chirper,1631120566,60339053702,1711115580306
finagle-chirper,1603009630,62050507982,1711115580306
finagle-chirper,1595588674,63710166950,1711115580306
finagle-chirper,1605484163,65389406280,1711115580306
finagle-chirper,1598405617,67058031863,1711115580306
finagle-chirper,1582511057,68719978493,1711115580306
finagle-chirper,1597088938,70371064777,1711115580306
finagle-chirper,1588099280,72035771043,1711115580306
finagle-chirper,1587338843,73689120581,1711115580306
finagle-chirper,1572066130,75340869787,1711115580306
finagle-chirper,1572134142,76976179807,1711115580306
finagle-chirper,1552051833,78621133430,1711115580306
finagle-chirper,1565845823,80237444602,1711115580306
finagle-chirper,1553064175,81876061111,1711115580306
finagle-chirper,1559571016,83533244156,1711115580306
finagle-chirper,1560759408,85156454500,1711115580306
finagle-chirper,1563842273,86780089700,1711115580306
finagle-chirper,1555299476,88407382951,1711115580306
finagle-chirper,1554394971,90034715881,1711115580306
finagle-chirper,1550398080,91653591690,1711115580306
finagle-chirper,1576168219,93276748846,1711115580306
finagle-chirper,1558337168,94918035915,1711115580306
finagle-chirper,1550847276,96542824491,1711115580306
finagle-chirper,1544746858,98161463712,1711115580306
finagle-chirper,1552835064,99774229123,1711115580306
finagle-chirper,1548395713,101393661028,1711115580306
finagle-chirper,1541518748,103035269562,1711115580306
finagle-chirper,1548700357,104641758508,1711115580306
finagle-chirper,1556350456,106258413193,1711115580306
finagle-chirper,1500882788,107889854456,1711115580306
finagle-chirper,1497884032,109462706597,1711115580306
finagle-chirper,1510194818,111032490832,1711115580306
finagle-chirper,1502193308,112614509987,1711115580306
finagle-chirper,1497911357,114185073085,1711115580306
finagle-chirper,1510000210,115748651014,1711115580306
finagle-chirper,1491694064,117327730164,1711115580306
finagle-chirper,1499445841,118882283753,1711115580306
finagle-chirper,1508635769,120447241744,1711115580306
finagle-chirper,1495625336,122018791213,1711115580306
finagle-chirper,1502673118,123579788395,1711115580306
finagle-chirper,1514777977,125146231430,1711115580306
finagle-chirper,1494308726,126728543572,1711115580306
finagle-chirper,1500501421,128285416690,1711115580306
finagle-chirper,1498429625,129850426964,1711115580306
finagle-chirper,1482729513,131421276114,1711115580306
finagle-chirper,1504305750,132976191764,1711115580306
finagle-chirper,1481609157,134543609043,1711115580306
finagle-chirper,1477006854,136088333022,1711115580306
finagle-chirper,1556094793,137629036078,1711115580306
finagle-chirper,1475959505,139255371429,1711115580306
finagle-chirper,1489444546,140799259109,1711115580306
finagle-chirper,1462897955,142352282443,1711115580306
finagle-chirper,1471334487,143878787076,1711115580306
finagle-chirper,1481176421,145413311629,1711115580306
finagle-chirper,1468734062,146957010125,1711115580306
finagle-chirper,1473930648,148488316928,1711115580306
finagle-chirper,1477231362,150025223565,1711115580306
finagle-chirper,1472392802,151575228229,1711115580306
finagle-chirper,1481673918,153111515103,1711115580306
finagle-chirper,1470606232,154660441552,1711115580306
finagle-chirper,1466980954,156193627844,1711115580306
finagle-chirper,1477263759,157753560220,1711115580306
finagle-chirper,1468121049,159302970402,1711115580306
