benchmark,duration_ns,uptime_ns,vm_start_unix_ms
finagle-chirper,4399477964,1443706882,1711116244534
finagle-chirper,3025396950,5917474910,1711116244534
finagle-chirper,2872761668,9014156970,1711116244534
finagle-chirper,3208440424,11956218226,1711116244534
finagle-chirper,2535284657,15232826563,1711116244534
finagle-chirper,3298136380,17858300873,1711116244534
finagle-chirper,2064182164,21217988756,1711116244534
finagle-chirper,1642102400,23359694824,1711116244534
finagle-chirper,1632522144,25091786144,1711116244534
finagle-chirper,1563486519,26800575061,1711116244534
finagle-chirper,1545028300,28471141579,1711116244534
finagle-chirper,1544621585,30116965434,1711116244534
finagle-chirper,1526895457,31768926396,1711116244534
finagle-chirper,1881356450,33402250601,1711116244534
finagle-chirper,1541662657,35343901255,1711116244534
finagle-chirper,1478504549,36943769871,1711116244534
finagle-chirper,1457499429,38490307830,1711116244534
finagle-chirper,1464219420,40017152302,1711116244534
finagle-chirper,1443645124,41554937848,1711116244534
finagle-chirper,1418049791,43063319649,1711116244534
finagle-chirper,1422378328,44551607554,1711116244534
finagle-chirper,1413789089,46038178688,1711116244534
finagle-chirper,1419513641,47517416233,1711116244534
finagle-chirper,1410364212,49001283689,1711116244534
finagle-chirper,1401775212,50477189981,1711116244534
finagle-chirper,1413719182,51947268370,1711116244534
finagle-chirper,1410397830,53425714503,1711116244534
finagle-chirper,1398648574,54901441249,1711116244534
finagle-chirper,1385134749,56373282145,1711116244534
finagle-chirper,1364052095,57836851468,1711116244534
finagle-chirper,1376716422,59278743881,1711116244534
finagle-chirper,1383680560,60729235527,1711116244534
finagle-chirper,1361693013,62203579880,1711116244534
finagle-chirper,1366833655,63637934570,1711116244534
finagle-chirper,1359999859,65069414878,1711116244534
finagle-chirper,1360040178,66493786970,1711116244534
finagle-chirper,1347639899,67922942337,1711116244534
finagle-chirper,1341508054,69345900149,1711116244534
finagle-chirper,1326005821,70757885840,1711116244534
finagle-chirper,1330679130,72151564135,1711116244534
finagle-chirper,1338976799,73547918992,1711116244534
finagle-chirper,1331722325,74951382197,1711116244534
finagle-chirper,1327584548,76348716525,1711116244534
finagle-chirper,1326339255,77740540933,1711116244534
finagle-chirper,1340578616,79139948434,1711116244534
finagle-chirper,1328266997,80559009394,1711116244534
finagle-chirper,1319841830,81952030771,1711116244534
finagle-chirper,1322031297,83336479997,1711116244534
finagle-chirper,1328953707,84728241817,1711116244534
finagle-chirper,1325989157,86126259882,1711116244534
finagle-chirper,1317806795,87524847496,1711116244534
finagle-chirper,1325074784,88907144011,1711116244534
finagle-chirper,1324736345,90297405883,1711116244534
finagle-chirper,1340273940,91686763717,1711116244534
finagle-chirper,1326080567,93090937959,1711116244534
finagle-chirper,1320004601,94489952658,1711116244534
finagle-chirper,1281445483,95882246217,1711116244534
finagle-chirper,1276505541,97227925323,1711116244534
finagle-chirper,1279354235,98568875400,1711116244534
finagle-chirper,1280073282,99914007429,1711116244534
finagle-chirper,1276524284,101267366663,1711116244534
finagle-chirper,1273404125,102608781223,1711116244534
finagle-chirper,1276029712,103947351433,1711116244534
finagle-chirper,1272148336,105296247795,1711116244534
finagle-chirper,1275386325,106642841654,1711116244534
finagle-chirper,1283706145,107990969100,1711116244534
finagle-chirper,1270573418,109339029273,1711116244534
finagle-chirper,1275789744,110682633569,1711116244534
finagle-chirper,1281224700,112026598816,1711116244534
finagle-chirper,1278520666,113372241395,1711116244534
finagle-chirper,1272562112,114715952518,1711116244534
finagle-chirper,1272646181,116057141561,1711116244534
finagle-chirper,1268475202,117394082552,1711116244534
finagle-chirper,1264431524,118727620911,1711116244534
finagle-chirper,1252095551,120056833280,1711116244534
finagle-chirper,1262114841,121372594067,1711116244534
finagle-chirper,1257930443,122697739823,1711116244534
finagle-chirper,1257021668,124020335809,1711116244534
finagle-chirper,1267452069,125341653293,1711116244534
finagle-chirper,1258846969,126672735242,1711116244534
finagle-chirper,1272119471,127995549230,1711116244534
finagle-chirper,1254028210,129340151589,1711116244534
finagle-chirper,1267531981,130667366477,1711116244534
finagle-chirper,1268109411,131997925878,1711116244534
finagle-chirper,1254297049,133329908821,1711116244534
finagle-chirper,1252535384,134656524336,1711116244534
finagle-chirper,1279968644,135973068726,1711116244534
finagle-chirper,1258387027,137316241798,1711116244534
finagle-chirper,1254406592,138637608761,1711116244534
finagle-chirper,1260184692,139957288264,1711116244534
