benchmark,duration_ns,uptime_ns,vm_start_unix_ms
finagle-chirper,5594052186,1516936367,1711115884191
finagle-chirper,4788216794,7180638761,1711115884191
finagle-chirper,5127315536,12052575994,1711115884191
finagle-chirper,4850229677,17245029684,1711115884191
finagle-chirper,4669389939,22145687574,1711115884191
finagle-chirper,4526492026,26885558137,1711115884191
finagle-chirper,4497538849,31478324148,1711115884191
finagle-chirper,4393786782,36050474868,1711115884191
finagle-chirper,4348472794,40507476607,1711115884191
finagle-chirper,4316717611,44921642082,1711115884191
finagle-chirper,4292078044,49312717245,1711115884191
finagle-chirper,4270702957,53650135684,1711115884191
finagle-chirper,4249305993,57986118349,1711115884191
finagle-chirper,4335494181,62305560902,1711115884191
finagle-chirper,4180342748,66707126756,1711115884191
finagle-chirper,4174131916,70938466452,1711115884191
finagle-chirper,4148546174,75162494793,1711115884191
finagle-chirper,4131459500,79354975331,1711115884191
finagle-chirper,4093634521,83531602037,1711115884191
finagle-chirper,4098130766,87675180069,1711115884191
finagle-chirper,4071808999,91813622732,1711115884191
finagle-chirper,4045264661,95928621170,1711115884191
finagle-chirper,4057355683,100017144203,1711115884191
finagle-chirper,4013295578,104118132493,1711115884191
finagle-chirper,4062768226,108178226569,1711115884191
finagle-chirper,4027237432,112285883138,1711115884191
finagle-chirper,4045731018,116353925808,1711115884191
finagle-chirper,4035046248,120439148951,1711115884191
finagle-chirper,3938432609,124521541398,1711115884191
finagle-chirper,3974343201,128503666381,1711115884191
finagle-chirper,3932322516,132518125217,1711115884191
finagle-chirper,3870660988,136494448841,1711115884191
finagle-chirper,3883203635,140408457370,1711115884191
finagle-chirper,3904621300,144333074393,1711115884191
finagle-chirper,3887150429,148280447742,1711115884191
finagle-chirper,3956107733,152207543123,1711115884191
finagle-chirper,3864152584,156204404640,1711115884191
finagle-chirper,3841676045,160131823303,1711115884191
finagle-chirper,3840291534,164012959027,1711115884191
finagle-chirper,3850905690,167897006719,1711115884191
finagle-chirper,3842453331,171792973705,1711115884191
finagle-chirper,3829576318,175675419437,1711115884191
finagle-chirper,3841384959,179546445895,1711115884191
finagle-chirper,3835171775,183431202672,1711115884191
finagle-chirper,3815398606,187310998629,1711115884191
finagle-chirper,3832358050,191170954752,1711115884191
finagle-chirper,3803057924,195045417091,1711115884191
finagle-chirper,3795468987,198887776462,1711115884191
finagle-chirper,3805667582,202724023015,1711115884191
finagle-chirper,3890898530,206576683428,1711115884191
finagle-chirper,3807959607,210510812134,1711115884191
finagle-chirper,3827014841,214360273962,1711115884191
finagle-chirper,3819168261,218257561926,1711115884191
finagle-chirper,3841114183,222119541906,1711115884191
finagle-chirper,3809534625,226000316658,1711115884191
finagle-chirper,3812924880,229849856278,1711115884191
finagle-chirper,3740765671,233702455548,1711115884191
finagle-chirper,3693325337,237483092449,1711115884191
finagle-chirper,3725936715,241223464074,1711115884191
finagle-chirper,3712286410,244988685100,1711115884191
finagle-chirper,3692464094,248740826832,1711115884191
finagle-chirper,3693562279,252480880218,1711115884191
finagle-chirper,3681592230,256214131164,1711115884191
finagle-chirper,3718477025,259937484762,1711115884191
finagle-chirper,3671393781,263698748689,1711115884191
finagle-chirper,3686916298,267411608533,1711115884191
finagle-chirper,3703282628,271138212926,1711115884191
finagle-chirper,3700016719,274891583516,1711115884191
finagle-chirper,3709343126,278630811475,1711115884191
finagle-chirper,3694928226,282379519477,1711115884191
finagle-chirper,3694984245,286114015297,1711115884191
finagle-chirper,3723269829,289848792909,1711115884191
finagle-chirper,3715872015,293611487168,1711115884191
finagle-chirper,3638915838,297370110909,1711115884191
finagle-chirper,3691677446,301049979384,1711115884191
finagle-chirper,3695166276,304785349478,1711115884191
finagle-chirper,3642006670,308520599573,1711115884191
finagle-chirper,3671979954,312205457622,1711115884191
finagle-chirper,3647756956,315921892816,1711115884191
finagle-chirper,3646335997,319609342617,1711115884191
finagle-chirper,3672524748,323319157173,1711115884191
finagle-chirper,3660789048,327031114588,1711115884191
finagle-chirper,3662548503,330738156218,1711115884191
finagle-chirper,3626466673,334445594905,1711115884191
finagle-chirper,3682238401,338115232850,1711115884191
finagle-chirper,3641687314,341841960054,1711115884191
finagle-chirper,3649008687,345523242768,1711115884191
finagle-chirper,3665742852,349211918759,1711115884191
finagle-chirper,3633605896,352926288569,1711115884191
finagle-chirper,3678391312,356603991589,1711115884191
