benchmark,duration_ns,uptime_ns,vm_start_unix_ms
finagle-chirper,4642481271,1645390540,1711116385835
finagle-chirper,3366198450,6375919873,1711116385835
finagle-chirper,3143590289,9822513330,1711116385835
finagle-chirper,4077847738,13043485330,1711116385835
finagle-chirper,2783819989,17195918334,1711116385835
finagle-chirper,2299385157,20045014849,1711116385835
finagle-chirper,1987358823,22418891181,1711116385835
finagle-chirper,1934297120,24497304218,1711116385835
finagle-chirper,1829783320,26518982922,1711116385835
finagle-chirper,1801311577,28432414273,1711116385835
finagle-chirper,1804592879,30289713003,1711116385835
finagle-chirper,1774140138,32154551024,1711116385835
finagle-chirper,1783842801,33985387920,1711116385835
finagle-chirper,2135526950,35825512905,1711116385835
finagle-chirper,1785506826,38016199921,1711116385835
finagle-chirper,1715106089,39854286974,1711116385835
finagle-chirper,1713673531,41618293564,1711116385835
finagle-chirper,1722079633,43382544757,1711116385835
finagle-chirper,1676018447,45164166777,1711116385835
finagle-chirper,1669288012,46899735614,1711116385835
finagle-chirper,1667437085,48620240664,1711116385835
finagle-chirper,1671832085,50337027690,1711116385835
finagle-chirper,1644815458,52059232776,1711116385835
finagle-chirper,1663187880,53753052469,1711116385835
finagle-chirper,1658957091,55470660043,1711116385835
finagle-chirper,1660542248,57185960862,1711116385835
finagle-chirper,1645894403,58897174246,1711116385835
finagle-chirper,1662546935,60604957964,1711116385835
finagle-chirper,1624532222,62341855946,1711116385835
finagle-chirper,1605498302,64016650593,1711116385835
finagle-chirper,1623006213,65681611166,1711116385835
finagle-chirper,1610435916,67372288514,1711116385835
finagle-chirper,1604036049,69052010708,1711116385835
finagle-chirper,1594152934,70723002839,1711116385835
finagle-chirper,1602512296,72388637347,1711116385835
finagle-chirper,1606936070,74059664019,1711116385835
finagle-chirper,1587959027,75740415829,1711116385835
finagle-chirper,1576160626,77392424053,1711116385835
finagle-chirper,1568413394,79041180218,1711116385835
finagle-chirper,1561892423,80673337718,1711116385835
finagle-chirper,1577686054,82299351242,1711116385835
finagle-chirper,1560184263,83941165174,1711116385835
finagle-chirper,1567653357,85572108278,1711116385835
finagle-chirper,1564521285,87203686954,1711116385835
finagle-chirper,1562313656,88831650225,1711116385835
finagle-chirper,1558796208,90457082498,1711116385835
finagle-chirper,1543220266,92088940765,1711116385835
finagle-chirper,1569583733,93705224990,1711116385835
finagle-chirper,1556327615,95338452612,1711116385835
finagle-chirper,1561501804,96957807427,1711116385835
finagle-chirper,1554063854,98582642230,1711116385835
finagle-chirper,1543822895,100208817319,1711116385835
finagle-chirper,1553727996,101825339566,1711116385835
finagle-chirper,1551453570,103443458481,1711116385835
finagle-chirper,1551377848,105067088711,1711116385835
finagle-chirper,1565567709,106693116026,1711116385835
finagle-chirper,1525382863,108321776501,1711116385835
finagle-chirper,1500225386,109909863706,1711116385835
finagle-chirper,1508547975,111472903109,1711116385835
finagle-chirper,1510256442,113044760517,1711116385835
finagle-chirper,1493387290,114626568951,1711116385835
finagle-chirper,1495557232,116183642731,1711116385835
finagle-chirper,1502852401,117743834808,1711116385835
finagle-chirper,1501903361,119309400912,1711116385835
finagle-chirper,1496974977,120874829043,1711116385835
finagle-chirper,1501905451,122434612116,1711116385835
finagle-chirper,1500959984,124007935457,1711116385835
finagle-chirper,1498858916,125586099618,1711116385835
finagle-chirper,1491643019,127157653564,1711116385835
finagle-chirper,1504043235,128712523526,1711116385835
finagle-chirper,1502594631,130295495339,1711116385835
finagle-chirper,1513841727,131860910731,1711116385835
finagle-chirper,1500964567,133438026503,1711116385835
finagle-chirper,1476018888,135001755366,1711116385835
finagle-chirper,1482386468,136586527316,1711116385835
finagle-chirper,1469773216,138162875345,1711116385835
finagle-chirper,1476889613,139703333521,1711116385835
finagle-chirper,1474250818,141243880972,1711116385835
finagle-chirper,1477937283,142782583594,1711116385835
finagle-chirper,1478074257,144325093678,1711116385835
finagle-chirper,1484211208,145867333367,1711116385835
finagle-chirper,1480633805,147414522816,1711116385835
finagle-chirper,1467912215,148966738410,1711116385835
finagle-chirper,1486023598,150497868940,1711116385835
finagle-chirper,1469620528,152047653675,1711116385835
finagle-chirper,1468131580,153581077718,1711116385835
finagle-chirper,1473183299,155113822535,1711116385835
finagle-chirper,1467995074,156650294327,1711116385835
finagle-chirper,1487560668,158182648661,1711116385835
finagle-chirper,1485078554,159733514644,1711116385835
