benchmark,duration_ns,uptime_ns,vm_start_unix_ms
finagle-chirper,4477975558,1454320579,1711116689274
finagle-chirper,3270390250,6010687539,1711116689274
finagle-chirper,3166746403,9351961210,1711116689274
finagle-chirper,3751979147,12598633504,1711116689274
finagle-chirper,2615537497,16427802684,1711116689274
finagle-chirper,1992198435,19108815862,1711116689274
finagle-chirper,1844263648,21178176606,1711116689274
finagle-chirper,1735779955,23111525591,1711116689274
finagle-chirper,1667311682,24922688593,1711116689274
finagle-chirper,1638646702,26647595266,1711116689274
finagle-chirper,1632760882,28343341895,1711116689274
finagle-chirper,1600279632,30039210502,1711116689274
finagle-chirper,1617520360,31709318828,1711116689274
finagle-chirper,1959621152,33405759404,1711116689274
finagle-chirper,1603315459,35422332410,1711116689274
finagle-chirper,1561440361,37081033733,1711116689274
finagle-chirper,1548865078,38691192565,1711116689274
finagle-chirper,1565628918,40318785047,1711116689274
finagle-chirper,1514217938,41948389452,1711116689274
finagle-chirper,1488975156,43540149563,1711116689274
finagle-chirper,1491269112,45097480985,1711116689274
finagle-chirper,1485612138,46651667217,1711116689274
finagle-chirper,1485868933,48222582179,1711116689274
finagle-chirper,1479718105,49772136594,1711116689274
finagle-chirper,1473847328,51316024684,1711116689274
finagle-chirper,1478342697,52853675116,1711116689274
finagle-chirper,1475460823,54394852871,1711116689274
finagle-chirper,1471027382,55937129288,1711116689274
finagle-chirper,1443581151,57481287031,1711116689274
finagle-chirper,1446186532,58989120182,1711116689274
finagle-chirper,1438533750,60499081486,1711116689274
finagle-chirper,1448058050,62026651330,1711116689274
finagle-chirper,1436304266,63537997407,1711116689274
finagle-chirper,1432445701,65046102052,1711116689274
finagle-chirper,1422635760,66542360431,1711116689274
finagle-chirper,1457207322,68028152765,1711116689274
finagle-chirper,1400089513,69556422356,1711116689274
finagle-chirper,1418469618,71035377171,1711116689274
finagle-chirper,1402815020,72526341510,1711116689274
finagle-chirper,1402406567,73992423993,1711116689274
finagle-chirper,1411216830,75457051303,1711116689274
finagle-chirper,1406939322,76930543680,1711116689274
finagle-chirper,1398928104,78401477906,1711116689274
finagle-chirper,1389297534,79863155724,1711116689274
finagle-chirper,1400845061,81316352024,1711116689274
finagle-chirper,1399047032,82780796219,1711116689274
finagle-chirper,1433059651,84242542421,1711116689274
finagle-chirper,1399550723,85744032952,1711116689274
finagle-chirper,1398820962,87217410766,1711116689274
finagle-chirper,1390948935,88679317887,1711116689274
finagle-chirper,1400230491,90142247176,1711116689274
finagle-chirper,1396593703,91605635750,1711116689274
finagle-chirper,1397631160,93065435692,1711116689274
finagle-chirper,1402053371,94525915956,1711116689274
finagle-chirper,1392575692,95990754604,1711116689274
finagle-chirper,1393354882,97446268904,1711116689274
finagle-chirper,1365932135,98912917266,1711116689274
finagle-chirper,1350258652,100343878632,1711116689274
finagle-chirper,1360543416,101762050549,1711116689274
finagle-chirper,1360997886,103188630567,1711116689274
finagle-chirper,1344757684,104612124786,1711116689274
finagle-chirper,1358398778,106020116340,1711116689274
finagle-chirper,1352301991,107450793890,1711116689274
finagle-chirper,1345834566,108875243493,1711116689274
finagle-chirper,1343023359,110286126974,1711116689274
finagle-chirper,1392508702,111707813133,1711116689274
finagle-chirper,1349524966,113162706065,1711116689274
finagle-chirper,1351302526,114576392575,1711116689274
finagle-chirper,1341865719,115995605345,1711116689274
finagle-chirper,1352201138,117400030821,1711116689274
finagle-chirper,1345959639,118815059007,1711116689274
finagle-chirper,1354864105,120224042084,1711116689274
finagle-chirper,1344535121,121643094016,1711116689274
finagle-chirper,1336440122,123050844791,1711116689274
finagle-chirper,1331851295,124450391121,1711116689274
finagle-chirper,1329195131,125844961148,1711116689274
finagle-chirper,1331079650,127236594901,1711116689274
finagle-chirper,1334013982,128630969918,1711116689274
finagle-chirper,1327913989,130026772523,1711116689274
finagle-chirper,1332052061,131417060838,1711116689274
finagle-chirper,1330618614,132812103111,1711116689274
finagle-chirper,1337607569,134205174858,1711116689274
finagle-chirper,1324534002,135605858698,1711116689274
finagle-chirper,1328132054,136993431838,1711116689274
finagle-chirper,1321984340,138383929790,1711116689274
finagle-chirper,1327180310,139779191981,1711116689274
finagle-chirper,1330646659,141178307946,1711116689274
finagle-chirper,1335554632,142571722591,1711116689274
finagle-chirper,1336777215,143974212472,1711116689274
finagle-chirper,1324989268,145376461088,1711116689274
