benchmark,duration_ns,uptime_ns,vm_start_unix_ms
finagle-chirper,4594650673,1623831382,1711113643183
finagle-chirper,3142579520,6293271174,1711113643183
finagle-chirper,3002813921,9510874189,1711113643183
finagle-chirper,3206685449,12582091183,1711113643183
finagle-chirper,3475655620,15875531772,1711113643183
finagle-chirper,2111001670,19398033574,1711113643183
finagle-chirper,1925268986,21578179264,1711113643183
finagle-chirper,1821931139,23587162237,1711113643183
finagle-chirper,1758153653,25488442379,1711113643183
finagle-chirper,1705288075,27322292229,1711113643183
finagle-chirper,1727800561,29114675303,1711113643183
finagle-chirper,1702307120,30896576867,1711113643183
finagle-chirper,1678381104,32648816563,1711113643183
finagle-chirper,2011739939,34381359965,1711113643183
finagle-chirper,1711253339,36457954077,1711113643183
finagle-chirper,1647452184,38220081814,1711113643183
finagle-chirper,1630750414,39929366680,1711113643183
finagle-chirper,1636692985,41621963779,1711113643183
finagle-chirper,1593014163,43317308418,1711113643183
finagle-chirper,1595689300,44983657848,1711113643183
finagle-chirper,1590406911,46651744011,1711113643183
finagle-chirper,1579740058,48306406092,1711113643183
finagle-chirper,1572790486,49951144624,1711113643183
finagle-chirper,1564464693,51589707217,1711113643183
finagle-chirper,1574738806,53219141642,1711113643183
finagle-chirper,1560040657,54858224692,1711113643183
finagle-chirper,1571963586,56493153760,1711113643183
finagle-chirper,1568655242,58128533500,1711113643183
finagle-chirper,1546391641,59763748482,1711113643183
finagle-chirper,1533196072,61399666017,1711113643183
finagle-chirper,1529248124,63006110183,1711113643183
finagle-chirper,1538000536,64599311211,1711113643183
finagle-chirper,1519565595,66213831811,1711113643183
finagle-chirper,1524914827,67797532206,1711113643183
finagle-chirper,1526781655,69386777111,1711113643183
finagle-chirper,1530880954,70977698186,1711113643183
finagle-chirper,1507493304,72572594287,1711113643183
finagle-chirper,1492613432,74148385198,1711113643183
finagle-chirper,1499253142,75704755770,1711113643183
finagle-chirper,1486024347,77278631641,1711113643183
finagle-chirper,1486093816,78829161164,1711113643183
finagle-chirper,1489613996,80401515582,1711113643183
finagle-chirper,1497249030,81958753659,1711113643183
finagle-chirper,1490967124,83533632283,1711113643183
finagle-chirper,1497120431,85103074145,1711113643183
finagle-chirper,1465374468,86673664956,1711113643183
finagle-chirper,1468967495,88211750332,1711113643183
finagle-chirper,1479841856,89749434055,1711113643183
finagle-chirper,1491793158,91293612596,1711113643183
finagle-chirper,1482635101,92857544358,1711113643183
finagle-chirper,1487397520,94404437057,1711113643183
finagle-chirper,1484015048,95955753727,1711113643183
finagle-chirper,1480042479,97503569769,1711113643183
finagle-chirper,1482906878,99051338609,1711113643183
finagle-chirper,1492336238,100599230825,1711113643183
finagle-chirper,1478597707,102164373569,1711113643183
finagle-chirper,1440330632,103707723316,1711113643183
finagle-chirper,1424880474,105215910566,1711113643183
finagle-chirper,1433437238,106714398688,1711113643183
finagle-chirper,1426692109,108216460655,1711113643183
finagle-chirper,1431297805,109706188017,1711113643183
finagle-chirper,1437944816,111223252875,1711113643183
finagle-chirper,1505032874,112724639753,1711113643183
finagle-chirper,1437116203,114312100679,1711113643183
finagle-chirper,1445560919,115822266534,1711113643183
finagle-chirper,1437372420,117331440724,1711113643183
finagle-chirper,1440076515,118832668695,1711113643183
finagle-chirper,1437094902,120336425234,1711113643183
finagle-chirper,1456032917,121837803393,1711113643183
finagle-chirper,1443863124,123357330406,1711113643183
finagle-chirper,1439116097,124864939234,1711113643183
finagle-chirper,1439414672,126368439427,1711113643183
finagle-chirper,1421814113,127871306963,1711113643183
finagle-chirper,1411784679,129366435902,1711113643183
finagle-chirper,1410905702,130842164167,1711113643183
finagle-chirper,1415941837,132316525162,1711113643183
finagle-chirper,1414857001,133796609909,1711113643183
finagle-chirper,1413221438,135275385562,1711113643183
finagle-chirper,1423427640,136752650776,1711113643183
finagle-chirper,1416583620,138240442217,1711113643183
finagle-chirper,1417500101,139720109438,1711113643183
finagle-chirper,1425708752,141209924479,1711113643183
finagle-chirper,1420054895,142699737169,1711113643183
finagle-chirper,1423791042,144183558200,1711113643183
finagle-chirper,1420642009,145671025165,1711113643183
finagle-chirper,1417109799,147155230751,1711113643183
finagle-chirper,1414073706,148639623494,1711113643183
finagle-chirper,1418399866,150117493371,1711113643183
finagle-chirper,1413272553,151599554389,1711113643183
finagle-chirper,1407897603,153077150803,1711113643183
