benchmark,duration_ns,uptime_ns,vm_start_unix_ms
finagle-chirper,4401072073,1425802349,1711117564701
finagle-chirper,3206612229,5903740676,1711117564701
finagle-chirper,3013984412,9180762033,1711117564701
finagle-chirper,3352940462,12262210246,1711117564701
finagle-chirper,3015722004,15692278085,1711117564701
finagle-chirper,1933595724,18773918308,1711117564701
finagle-chirper,1741992910,20787650833,1711117564701
finagle-chirper,1655330474,22611855775,1711117564701
finagle-chirper,1577748493,24345626703,1711117564701
finagle-chirper,1532107844,25979439826,1711117564701
finagle-chirper,1536388736,27580692169,1711117564701
finagle-chirper,1527104457,29187642288,1711117564701
finagle-chirper,1522186321,30783120224,1711117564701
finagle-chirper,1898461653,32383768897,1711117564701
finagle-chirper,1527827438,34340519469,1711117564701
finagle-chirper,1458546935,35922853695,1711117564701
finagle-chirper,1445425772,37450072634,1711117564701
finagle-chirper,1463650021,38960183979,1711117564701
finagle-chirper,1417839015,40492249155,1711117564701
finagle-chirper,1401961902,41972956283,1711117564701
finagle-chirper,1411274960,43438532035,1711117564701
finagle-chirper,1406015141,44934004184,1711117564701
finagle-chirper,1400927151,46404998049,1711117564701
finagle-chirper,1394238878,47878122304,1711117564701
finagle-chirper,1395181325,49350072524,1711117564701
finagle-chirper,1396103763,50812105527,1711117564701
finagle-chirper,1406396508,52281034451,1711117564701
finagle-chirper,1393936897,53749956108,1711117564701
finagle-chirper,1371242563,55207449978,1711117564701
finagle-chirper,1340206889,56646842737,1711117564701
finagle-chirper,1361025620,58055310298,1711117564701
finagle-chirper,1362118312,59479833485,1711117564701
finagle-chirper,1360785995,60905436434,1711117564701
finagle-chirper,1355863905,62358005489,1711117564701
finagle-chirper,1348261466,63777348588,1711117564701
finagle-chirper,1350854831,65202792507,1711117564701
finagle-chirper,1328026799,66616519608,1711117564701
finagle-chirper,1319270798,68007639081,1711117564701
finagle-chirper,1312766999,69398746870,1711117564701
finagle-chirper,1314987636,70783575361,1711117564701
finagle-chirper,1325579943,72162687087,1711117564701
finagle-chirper,1319762667,73560547320,1711117564701
finagle-chirper,1315121389,74947546547,1711117564701
finagle-chirper,1315988150,76326029684,1711117564701
finagle-chirper,1329920612,77719316538,1711117564701
finagle-chirper,1310331779,79116978644,1711117564701
finagle-chirper,1301393448,80491010782,1711117564701
finagle-chirper,1306100595,81855538852,1711117564701
finagle-chirper,1304026950,83224434428,1711117564701
finagle-chirper,1322026209,84599974503,1711117564701
finagle-chirper,1302653662,85993801884,1711117564701
finagle-chirper,1317888951,87361710866,1711117564701
finagle-chirper,1323308020,88742847497,1711117564701
finagle-chirper,1317345316,90129146156,1711117564701
finagle-chirper,1310547750,91509245840,1711117564701
finagle-chirper,1319815972,92882665306,1711117564701
finagle-chirper,1290860297,94279413581,1711117564701
finagle-chirper,1258360538,95634649683,1711117564701
finagle-chirper,1260496983,96969965339,1711117564701
finagle-chirper,1269212501,98302752073,1711117564701
finagle-chirper,1272185253,99645210420,1711117564701
finagle-chirper,1262920828,100980660137,1711117564701
finagle-chirper,1315334204,102306765039,1711117564701
finagle-chirper,1259279322,103685093879,1711117564701
finagle-chirper,1261505769,105015114926,1711117564701
finagle-chirper,1270345244,106339419799,1711117564701
finagle-chirper,1273979650,107671915770,1711117564701
finagle-chirper,1262042013,109009465530,1711117564701
finagle-chirper,1282551119,110333783018,1711117564701
finagle-chirper,1276417976,111687808369,1711117564701
finagle-chirper,1259523202,113027095441,1711117564701
finagle-chirper,1250061858,114350602514,1711117564701
finagle-chirper,1255929338,115663499336,1711117564701
finagle-chirper,1246209013,116981883067,1711117564701
finagle-chirper,1243416867,118299529275,1711117564701
finagle-chirper,1242233055,119613787164,1711117564701
finagle-chirper,1250173843,120919257460,1711117564701
finagle-chirper,1236691450,122231982940,1711117564701
finagle-chirper,1241562024,123531489798,1711117564701
finagle-chirper,1238488920,124834742287,1711117564701
finagle-chirper,1247394330,126135865042,1711117564701
finagle-chirper,1252273929,127445539898,1711117564701
finagle-chirper,1238385717,128764541970,1711117564701
finagle-chirper,1252128064,130065190868,1711117564701
finagle-chirper,1246071203,131381310957,1711117564701
finagle-chirper,1268119750,132694549656,1711117564701
finagle-chirper,1243970714,134025704755,1711117564701
finagle-chirper,1243659032,135332953055,1711117564701
finagle-chirper,1249214512,136639456462,1711117564701
finagle-chirper,1248503743,137951621186,1711117564701
