benchmark,duration_ns,uptime_ns,vm_start_unix_ms
finagle-chirper,4352900280,1418816713,1711117703963
finagle-chirper,3082975760,5857187786,1711117703963
finagle-chirper,2959360623,9015461141,1711117703963
finagle-chirper,2914437305,12044670683,1711117703963
finagle-chirper,3138759320,15035208816,1711117703963
finagle-chirper,1963684630,18219615746,1711117703963
finagle-chirper,1971795962,20252094466,1711117703963
finagle-chirper,1661847382,22307232678,1711117703963
finagle-chirper,1649935011,24045086185,1711117703963
finagle-chirper,1557635363,25771188934,1711117703963
finagle-chirper,1548068594,27420804560,1711117703963
finagle-chirper,1538562535,29075668762,1711117703963
finagle-chirper,1537332419,30718648730,1711117703963
finagle-chirper,1892799999,32325169083,1711117703963
finagle-chirper,1536994733,34295010876,1711117703963
finagle-chirper,1476470797,35906526708,1711117703963
finagle-chirper,1470718524,37467347290,1711117703963
finagle-chirper,1476571583,39010327029,1711117703963
finagle-chirper,1441067108,40560472233,1711117703963
finagle-chirper,1429502016,42092224803,1711117703963
finagle-chirper,1408510028,43594389478,1711117703963
finagle-chirper,1419876157,45066888383,1711117703963
finagle-chirper,1412359241,46550483466,1711117703963
finagle-chirper,1409801117,48026425734,1711117703963
finagle-chirper,1394678227,49500233694,1711117703963
finagle-chirper,1396139532,50958858885,1711117703963
finagle-chirper,1416262166,52421813129,1711117703963
finagle-chirper,1401475321,53901803833,1711117703963
finagle-chirper,1373926156,55375110241,1711117703963
finagle-chirper,1360469245,56825723311,1711117703963
finagle-chirper,1360541845,58256973169,1711117703963
finagle-chirper,1359600669,59696040413,1711117703963
finagle-chirper,1363352313,61147036084,1711117703963
finagle-chirper,1356986263,62585965497,1711117703963
finagle-chirper,1356275773,64006840272,1711117703963
finagle-chirper,1352191819,65435587359,1711117703963
finagle-chirper,1345936212,66864881257,1711117703963
finagle-chirper,1331908967,68275486423,1711117703963
finagle-chirper,1346150408,69679796571,1711117703963
finagle-chirper,1330728016,71090972208,1711117703963
finagle-chirper,1328856107,72484466144,1711117703963
finagle-chirper,1334134034,73877095726,1711117703963
finagle-chirper,1329129696,75274061016,1711117703963
finagle-chirper,1330792016,76666904821,1711117703963
finagle-chirper,1320181622,78061192234,1711117703963
finagle-chirper,1308833732,79444204237,1711117703963
finagle-chirper,1320102049,80816039816,1711117703963
finagle-chirper,1323272170,82199017694,1711117703963
finagle-chirper,1325244625,83586704233,1711117703963
finagle-chirper,1327276311,84987951917,1711117703963
finagle-chirper,1316611348,86387669164,1711117703963
finagle-chirper,1319557994,87766767951,1711117703963
finagle-chirper,1322861474,89154559202,1711117703963
finagle-chirper,1325948912,90540064248,1711117703963
finagle-chirper,1319722595,91929184248,1711117703963
finagle-chirper,1332252691,93320628933,1711117703963
finagle-chirper,1281574619,94718641407,1711117703963
finagle-chirper,1263009286,96062984163,1711117703963
finagle-chirper,1277847983,97390839985,1711117703963
finagle-chirper,1279852592,98732461570,1711117703963
finagle-chirper,1275767335,100075434914,1711117703963
finagle-chirper,1280650840,101416169212,1711117703963
finagle-chirper,1269768923,102770948253,1711117703963
finagle-chirper,1267751274,104104945620,1711117703963
finagle-chirper,1265711165,105435907184,1711117703963
finagle-chirper,1270616064,106765332838,1711117703963
finagle-chirper,1272279140,108109827494,1711117703963
finagle-chirper,1277944276,109446359026,1711117703963
finagle-chirper,1284151962,110815141643,1711117703963
finagle-chirper,1272332646,112162776840,1711117703963
finagle-chirper,1275307208,113506770288,1711117703963
finagle-chirper,1262047053,114853596028,1711117703963
finagle-chirper,1269134195,116178482842,1711117703963
finagle-chirper,1257624730,117519326977,1711117703963
finagle-chirper,1251906010,118839951790,1711117703963
finagle-chirper,1255928281,120165469984,1711117703963
finagle-chirper,1255247237,121484814918,1711117703963
finagle-chirper,1256642394,122802282755,1711117703963
finagle-chirper,1256043931,124123610739,1711117703963
finagle-chirper,1255448657,125443030605,1711117703963
finagle-chirper,1249313506,126761544264,1711117703963
finagle-chirper,1259592956,128074263399,1711117703963
finagle-chirper,1247178030,129405219602,1711117703963
finagle-chirper,1261204767,130716402083,1711117703963
finagle-chirper,1253170822,132054488184,1711117703963
finagle-chirper,1244644050,133380458258,1711117703963
finagle-chirper,1253798819,134697252091,1711117703963
finagle-chirper,1267865442,136021953769,1711117703963
finagle-chirper,1255678868,137361419847,1711117703963
finagle-chirper,1256040439,138681413711,1711117703963
