benchmark,duration_ns,uptime_ns,vm_start_unix_ms
finagle-chirper,4429070420,1402745956,1711117421353
finagle-chirper,3109348193,5918736662,1711117421353
finagle-chirper,3014460901,9096476693,1711117421353
finagle-chirper,2868988793,12190076378,1711117421353
finagle-chirper,3297882907,15145322803,1711117421353
finagle-chirper,1934947890,18528548299,1711117421353
finagle-chirper,1988580466,20522608894,1711117421353
finagle-chirper,1685074365,22595029434,1711117421353
finagle-chirper,1647390311,24357790225,1711117421353
finagle-chirper,1585915434,26069963686,1711117421353
finagle-chirper,1575938656,27716402880,1711117421353
finagle-chirper,1577229549,29371685538,1711117421353
finagle-chirper,1569797950,31022027350,1711117421353
finagle-chirper,1954386722,32665575624,1711117421353
finagle-chirper,1562131227,34675387099,1711117421353
finagle-chirper,1508627235,36288204225,1711117421353
finagle-chirper,1490137075,37851118394,1711117421353
finagle-chirper,1527415759,39417821061,1711117421353
finagle-chirper,1469861086,41016135171,1711117421353
finagle-chirper,1457087878,42563148609,1711117421353
finagle-chirper,1464208118,44098592329,1711117421353
finagle-chirper,1459820912,45634479621,1711117421353
finagle-chirper,1435599122,47162593391,1711117421353
finagle-chirper,1437421431,48661548349,1711117421353
finagle-chirper,1437262928,50163070038,1711117421353
finagle-chirper,1445193002,51669236728,1711117421353
finagle-chirper,1441152281,53177421826,1711117421353
finagle-chirper,1434891836,54686279759,1711117421353
finagle-chirper,1407744511,56185321987,1711117421353
finagle-chirper,1408488728,57663443172,1711117421353
finagle-chirper,1399990703,59134776808,1711117421353
finagle-chirper,1411164260,60597809507,1711117421353
finagle-chirper,1399240039,62112145512,1711117421353
finagle-chirper,1396218078,63583692833,1711117421353
finagle-chirper,1390877076,65044149450,1711117421353
finagle-chirper,1398739327,66498244294,1711117421353
finagle-chirper,1391517075,67959730511,1711117421353
finagle-chirper,1377774214,69413639189,1711117421353
finagle-chirper,1364005642,70854262649,1711117421353
finagle-chirper,1360018415,72282804337,1711117421353
finagle-chirper,1390352650,73721836420,1711117421353
finagle-chirper,1362771711,75183746515,1711117421353
finagle-chirper,1388157121,76609056964,1711117421353
finagle-chirper,1372548539,78061272100,1711117421353
finagle-chirper,1363261068,79496889769,1711117421353
finagle-chirper,1379599167,80923647099,1711117421353
finagle-chirper,1365926870,82371588898,1711117421353
finagle-chirper,1356253772,83800040267,1711117421353
finagle-chirper,1358165156,85228475446,1711117421353
finagle-chirper,1367520961,86650071485,1711117421353
finagle-chirper,1352227662,88080178260,1711117421353
finagle-chirper,1353870765,89496050463,1711117421353
finagle-chirper,1358942128,90913856833,1711117421353
finagle-chirper,1361114966,92350955210,1711117421353
finagle-chirper,1352795884,93784109240,1711117421353
finagle-chirper,1359150359,95204167484,1711117421353
finagle-chirper,1401360929,96631840717,1711117421353
finagle-chirper,1315418940,98097528107,1711117421353
finagle-chirper,1331233031,99476469029,1711117421353
finagle-chirper,1311150364,100879687483,1711117421353
finagle-chirper,1318590392,102262934437,1711117421353
finagle-chirper,1303704533,103644269014,1711117421353
finagle-chirper,1317453354,105019078382,1711117421353
finagle-chirper,1309984801,106409159374,1711117421353
finagle-chirper,1303044468,107791753909,1711117421353
finagle-chirper,1322752375,109171363054,1711117421353
finagle-chirper,1311403884,110558135523,1711117421353
finagle-chirper,1327884231,111936597018,1711117421353
finagle-chirper,1317929732,113334485163,1711117421353
finagle-chirper,1310327041,114715353318,1711117421353
finagle-chirper,1320943198,116090556333,1711117421353
finagle-chirper,1319788789,117475715448,1711117421353
finagle-chirper,1308686777,118864536520,1711117421353
finagle-chirper,1289713120,120239683909,1711117421353
finagle-chirper,1290382064,121595779971,1711117421353
finagle-chirper,1296379676,122948588853,1711117421353
finagle-chirper,1305531643,124307466557,1711117421353
finagle-chirper,1294724524,125676162513,1711117421353
finagle-chirper,1295850671,127033299385,1711117421353
finagle-chirper,1286548216,128391622042,1711117421353
finagle-chirper,1291502951,129741136077,1711117421353
finagle-chirper,1301994532,131096767650,1711117421353
finagle-chirper,1288897917,132460949831,1711117421353
finagle-chirper,1308812982,133812609863,1711117421353
finagle-chirper,1299023494,135183768905,1711117421353
finagle-chirper,1288570787,136546679469,1711117421353
finagle-chirper,1301713828,137898310563,1711117421353
finagle-chirper,1285264909,139263357535,1711117421353
finagle-chirper,1298178653,140614403273,1711117421353
finagle-chirper,1290516816,141983314819,1711117421353
