benchmark,duration_ns,uptime_ns,vm_start_unix_ms
finagle-http,4752205188,1055304839,1710956964391
finagle-http,3461726025,5852205375,1710956964391
finagle-http,3186343643,9366498392,1710956964391
finagle-http,3808631319,12600491141,1710956964391
finagle-http,2186868059,16456300418,1710956964391
finagle-http,2130041479,18685419416,1710956964391
finagle-http,2038012109,20858470922,1710956964391
finagle-http,2002372334,22934384936,1710956964391
finagle-http,2022626158,24963846152,1710956964391
finagle-http,2018641022,27009445114,1710956964391
finagle-http,2017110658,29049557408,1710956964391
finagle-http,1993202401,31091871979,1710956964391
