benchmark,duration_ns,uptime_ns,vm_start_unix_ms
finagle-http,6188833090,1029068159,1710956997544
finagle-http,4766811074,7265997357,1710956997544
finagle-http,4815976207,12079290628,1710956997544
finagle-http,3044606075,16943136751,1710956997544
finagle-http,3016542457,20031729528,1710956997544
finagle-http,2964923060,23087683875,1710956997544
finagle-http,2945868591,26099438008,1710956997544
finagle-http,2951096334,29081700598,1710956997544
finagle-http,2972085711,32067454712,1710956997544
finagle-http,2963156371,35072787810,1710956997544
finagle-http,2944569607,38061320917,1710956997544
finagle-http,2914990037,41031019289,1710956997544
