benchmark,duration_ns,uptime_ns,vm_start_unix_ms
finagle-http,4685770759,1029199145,1710957141383
finagle-http,3449144858,5763704467,1710957141383
finagle-http,3182193773,9258391224,1710957141383
finagle-http,3748205893,12485484089,1710957141383
finagle-http,2166350768,16283377916,1710957141383
finagle-http,2148818754,18497176808,1710957141383
finagle-http,2065764799,20688829604,1710957141383
finagle-http,2071500927,22800110839,1710957141383
finagle-http,2071517883,24899486429,1710957141383
finagle-http,2056837359,27001732012,1710957141383
finagle-http,2023093191,29084328890,1710957141383
finagle-http,2017353726,31132660083,1710957141383
