benchmark,duration_ns,uptime_ns,vm_start_unix_ms
finagle-http,4597501807,1016518191,1710957174600
finagle-http,3236515814,5656687186,1710957174600
finagle-http,3202680171,8947686683,1710957174600
finagle-http,3687890816,12193256082,1710957174600
finagle-http,2294562315,15930028465,1710957174600
finagle-http,2083557821,18262794519,1710957174600
finagle-http,2048549449,20386374880,1710957174600
finagle-http,2034218314,22478720498,1710957174600
finagle-http,2062356378,24551720993,1710957174600
finagle-http,2049416010,26649427503,1710957174600
finagle-http,2065988265,28738707985,1710957174600
finagle-http,2046295369,30838943541,1710957174600
