benchmark,duration_ns,uptime_ns,vm_start_unix_ms
finagle-http,4721233385,1008435266,1710957240732
finagle-http,3481225897,5774025468,1710957240732
finagle-http,3275808284,9300034097,1710957240732
finagle-http,3878633227,12617688795,1710957240732
finagle-http,2207838458,16543368812,1710957240732
finagle-http,2188100481,18791352008,1710957240732
finagle-http,2124182753,21019663817,1710957240732
finagle-http,2114250356,23180586666,1710957240732
finagle-http,2132304135,25330152658,1710957240732
finagle-http,2121368263,27489825384,1710957240732
finagle-http,2114996719,29633196715,1710957240732
finagle-http,2066915171,31772923193,1710957240732
