benchmark,duration_ns,uptime_ns,vm_start_unix_ms
finagle-http,4793237709,998673580,1710957412632
finagle-http,3293316895,5842672098,1710957412632
finagle-http,3122677312,9184502737,1710957412632
finagle-http,3849234303,12351636491,1710957412632
finagle-http,2139984692,16255391153,1710957412632
finagle-http,2079640802,18439140112,1710957412632
finagle-http,2051499246,20561345474,1710957412632
finagle-http,1950301413,22649566491,1710957412632
finagle-http,2030388737,24639487139,1710957412632
finagle-http,1986991372,26692850853,1710957412632
finagle-http,2017498770,28703375115,1710957412632
finagle-http,2017743214,30745645353,1710957412632
