benchmark,duration_ns,uptime_ns,vm_start_unix_ms
finagle-http,4856876145,1034663343,1710957504267
finagle-http,3433737599,5934253790,1710957504267
finagle-http,3149485369,9415846281,1710957504267
finagle-http,3772113320,12609149763,1710957504267
finagle-http,2161490911,16415645096,1710957504267
finagle-http,2092388826,18621539415,1710957504267
finagle-http,2031475776,20755621020,1710957504267
finagle-http,2021918930,22825501778,1710957504267
finagle-http,2002919669,24884269765,1710957504267
finagle-http,2012308067,26922557436,1710957504267
finagle-http,2025179319,28956185317,1710957504267
finagle-http,2009239706,31005056139,1710957504267
