benchmark,duration_ns,uptime_ns,vm_start_unix_ms
finagle-http,4716072248,1040557414,1710957572891
finagle-http,3282777817,5802108815,1710957572891
finagle-http,3159890189,9131787009,1710957572891
finagle-http,3811589086,12351696415,1710957572891
finagle-http,2160462608,16206923693,1710957572891
finagle-http,2114080772,18408515010,1710957572891
finagle-http,2068091508,20562637337,1710957572891
finagle-http,2051999701,22672868333,1710957572891
finagle-http,2066307586,24765103970,1710957572891
finagle-http,2061571802,26870964291,1710957572891
finagle-http,2083006556,28968126213,1710957572891
finagle-http,2047173747,31084169468,1710957572891
