benchmark,duration_ns,uptime_ns,vm_start_unix_ms
finagle-http,4785327554,996006080,1710957606092
finagle-http,3415427603,5826606892,1710957606092
finagle-http,3322747870,9286378205,1710957606092
finagle-http,3634632994,12653835361,1710957606092
finagle-http,2144874358,16344347830,1710957606092
finagle-http,2105295681,18533210169,1710957606092
finagle-http,2072145486,20683280099,1710957606092
finagle-http,2050916139,22803843491,1710957606092
finagle-http,2074500548,24890981107,1710957606092
finagle-http,2056575917,27005355304,1710957606092
finagle-http,2078693301,29098285252,1710957606092
finagle-http,2067127218,31217065281,1710957606092
