benchmark,duration_ns,uptime_ns,vm_start_unix_ms
finagle-http,4568771137,993155509,1710957738313
finagle-http,3382538288,5605530337,1710957738313
finagle-http,3170602422,9033645009,1710957738313
finagle-http,3593060849,12244444565,1710957738313
finagle-http,2373146715,15888257701,1710957738313
finagle-http,2081835703,18303636242,1710957738313
finagle-http,2020765150,20432059686,1710957738313
finagle-http,2018493381,22488290922,1710957738313
finagle-http,2031468294,24541604698,1710957738313
finagle-http,1987914779,26598264768,1710957738313
finagle-http,2010670192,28609699409,1710957738313
finagle-http,1999508084,30640624788,1710957738313
