benchmark,duration_ns,uptime_ns,vm_start_unix_ms
finagle-http,4688251039,994208442,1710957871628
finagle-http,3492626283,5725225501,1710957871628
finagle-http,3225034048,9261920647,1710957871628
finagle-http,3614210601,12535766336,1710957871628
finagle-http,2247312566,16196503088,1710957871628
finagle-http,2078663522,18486143734,1710957871628
finagle-http,2060489357,20607873560,1710957871628
finagle-http,2021643956,22708057972,1710957871628
finagle-http,2066062995,24765766361,1710957871628
finagle-http,2028223316,26854102662,1710957871628
finagle-http,2030034162,28906710737,1710957871628
finagle-http,2025321857,30962248441,1710957871628
