benchmark,duration_ns,uptime_ns,vm_start_unix_ms
fj-kmeans,2325382424,747464553,1710952648079
fj-kmeans,2047725149,3371582195,1710952648079
fj-kmeans,2010824589,5471974637,1710952648079
fj-kmeans,1941441083,7529806770,1710952648079
fj-kmeans,1965593259,9748927385,1710952648079
fj-kmeans,1950371045,11772724044,1710952648079
fj-kmeans,1992496494,14001821649,1710952648079
fj-kmeans,1933894915,16047254758,1710952648079
fj-kmeans,1935603994,18028283189,1710952648079
fj-kmeans,1920002324,20010195633,1710952648079
fj-kmeans,1931213230,21978170271,1710952648079
fj-kmeans,1930036073,23956019706,1710952648079
fj-kmeans,1920290407,25932901899,1710952648079
fj-kmeans,1923782016,27900104372,1710952648079
fj-kmeans,1927197048,29871022225,1710952648079
fj-kmeans,1920223447,31845235894,1710952648079
fj-kmeans,1926827015,33812321091,1710952648079
fj-kmeans,1923473177,35789501745,1710952648079
fj-kmeans,1926057069,37760527725,1710952648079
fj-kmeans,1927890638,39736209831,1710952648079
fj-kmeans,1922588035,41712219622,1710952648079
fj-kmeans,1920475172,43682428353,1710952648079
fj-kmeans,1925905834,45651802514,1710952648079
fj-kmeans,1919264471,47625139270,1710952648079
fj-kmeans,1914183008,49592616543,1710952648079
fj-kmeans,1922449050,51553428409,1710952648079
fj-kmeans,1929506511,53523459229,1710952648079
fj-kmeans,1917567454,55500809315,1710952648079
fj-kmeans,1916565879,57465699612,1710952648079
fj-kmeans,1909900368,59429983669,1710952648079
