benchmark,duration_ns,uptime_ns,vm_start_unix_ms
fj-kmeans,2216384877,724944861,1710952823797
fj-kmeans,1957493377,3239414260,1710952823797
fj-kmeans,2023334125,5247917502,1710952823797
fj-kmeans,1927784215,7319028704,1710952823797
fj-kmeans,1874024714,9308684367,1710952823797
fj-kmeans,1870208669,11468561117,1710952823797
fj-kmeans,1881661798,13418087764,1710952823797
fj-kmeans,1877258883,15347809035,1710952823797
fj-kmeans,1861264688,17275283446,1710952823797
fj-kmeans,1870748682,19184089652,1710952823797
fj-kmeans,1874041375,21114975226,1710952823797
fj-kmeans,1871046579,23036168045,1710952823797
fj-kmeans,1874444721,24954270983,1710952823797
fj-kmeans,1868421367,26875713596,1710952823797
fj-kmeans,1877646282,28791426273,1710952823797
fj-kmeans,1878851968,30716416842,1710952823797
fj-kmeans,1872742103,32642648990,1710952823797
fj-kmeans,1863326486,34577599903,1710952823797
fj-kmeans,1860999515,36488466913,1710952823797
fj-kmeans,1863018722,38397401366,1710952823797
fj-kmeans,1863282102,40308478631,1710952823797
fj-kmeans,1857451913,42218845350,1710952823797
fj-kmeans,1869777147,44123491668,1710952823797
fj-kmeans,1864177263,46039893707,1710952823797
fj-kmeans,1862044150,47950855838,1710952823797
fj-kmeans,1867917898,49861109776,1710952823797
fj-kmeans,1861574889,51776275030,1710952823797
fj-kmeans,1869442225,53684977918,1710952823797
fj-kmeans,1870714149,55604628799,1710952823797
fj-kmeans,1879503400,57524913801,1710952823797
