benchmark,duration_ns,uptime_ns,vm_start_unix_ms
fj-kmeans,2221400578,782993332,1710952883255
fj-kmeans,1944009189,3309740315,1710952883255
fj-kmeans,1947758240,5304978095,1710952883255
fj-kmeans,1944238646,7300801221,1710952883255
fj-kmeans,1891184754,9295126265,1710952883255
fj-kmeans,1923134154,11466321891,1710952883255
fj-kmeans,1884585185,13665057072,1710952883255
fj-kmeans,1885013748,15596657385,1710952883255
fj-kmeans,1870631981,17529494582,1710952883255
fj-kmeans,1878435243,19448291172,1710952883255
fj-kmeans,1865371769,21373541931,1710952883255
fj-kmeans,1871475718,23288477770,1710952883255
fj-kmeans,1867984507,25207249931,1710952883255
fj-kmeans,1868319310,27121687765,1710952883255
fj-kmeans,1868971539,29037706592,1710952883255
fj-kmeans,1869229800,30955645480,1710952883255
fj-kmeans,1869467273,32871807009,1710952883255
fj-kmeans,1881051457,34791848147,1710952883255
fj-kmeans,1868841359,36719755803,1710952883255
fj-kmeans,1893810027,38865146103,1710952883255
fj-kmeans,1878880528,40806389330,1710952883255
fj-kmeans,1877318325,42732976673,1710952883255
fj-kmeans,1876036308,44657937734,1710952883255
fj-kmeans,1869993028,46581236301,1710952883255
fj-kmeans,1882422481,48498193049,1710952883255
fj-kmeans,1875641903,50427704638,1710952883255
fj-kmeans,1886166334,52350732462,1710952883255
fj-kmeans,1872824139,54284901542,1710952883255
fj-kmeans,1873953854,56205388842,1710952883255
fj-kmeans,1866223129,58126383319,1710952883255
