benchmark,duration_ns,uptime_ns,vm_start_unix_ms
fj-kmeans,2208503432,718077268,1710953133978
fj-kmeans,1924157589,3231653701,1710953133978
fj-kmeans,1993377840,5207346250,1710953133978
fj-kmeans,1873717251,7250438140,1710953133978
fj-kmeans,1867396870,9405442019,1710953133978
fj-kmeans,1896450426,11339396265,1710953133978
fj-kmeans,1902344524,13512425217,1710953133978
fj-kmeans,1854379210,15462433401,1710953133978
fj-kmeans,1876902121,17364320997,1710953133978
fj-kmeans,1843165451,19288196453,1710953133978
fj-kmeans,1852953407,21179550104,1710953133978
fj-kmeans,1851005767,23080635591,1710953133978
fj-kmeans,1860272543,24987586683,1710953133978
fj-kmeans,1849490335,26894604817,1710953133978
fj-kmeans,1852207702,28791800069,1710953133978
fj-kmeans,1854285022,30691156979,1710953133978
fj-kmeans,1858009517,32592964862,1710953133978
fj-kmeans,1849728444,34502129313,1710953133978
fj-kmeans,1852744340,36399356165,1710953133978
fj-kmeans,1854093244,38299028236,1710953133978
fj-kmeans,1853993880,40200874786,1710953133978
fj-kmeans,1861587018,42103172469,1710953133978
fj-kmeans,1851412204,44011977748,1710953133978
fj-kmeans,1853993968,45910334782,1710953133978
fj-kmeans,1854829623,47811589517,1710953133978
fj-kmeans,1851012332,49715279552,1710953133978
fj-kmeans,1860691782,51616427695,1710953133978
fj-kmeans,1853885688,53525177634,1710953133978
fj-kmeans,1849087936,55427057132,1710953133978
fj-kmeans,1852468985,57323139124,1710953133978
