benchmark,duration_ns,uptime_ns,vm_start_unix_ms
fj-kmeans,2309829834,737303323,1710953193207
fj-kmeans,2008088118,3347087216,1710953193207
fj-kmeans,2039792960,5405027522,1710953193207
fj-kmeans,1944724623,7496114922,1710953193207
fj-kmeans,1993120515,9723829191,1710953193207
fj-kmeans,1945879160,11770725109,1710953193207
fj-kmeans,1941730047,14003580794,1710953193207
fj-kmeans,1938273555,15992783509,1710953193207
fj-kmeans,1934285827,17978693319,1710953193207
fj-kmeans,1940322187,19970146202,1710953193207
fj-kmeans,1932313364,21959037847,1710953193207
fj-kmeans,1933341135,23939070180,1710953193207
fj-kmeans,1931581360,25920416367,1710953193207
fj-kmeans,1939023652,27899134973,1710953193207
fj-kmeans,1936956480,29885559003,1710953193207
fj-kmeans,1941537256,31870385951,1710953193207
fj-kmeans,1937410719,33859087077,1710953193207
fj-kmeans,1925702043,35847547507,1710953193207
fj-kmeans,1927719589,37820697398,1710953193207
fj-kmeans,1938415440,39796396354,1710953193207
fj-kmeans,1925527580,41782148584,1710953193207
fj-kmeans,1938318907,43755363396,1710953193207
fj-kmeans,1925420085,45741500113,1710953193207
fj-kmeans,1933446528,47714384061,1710953193207
fj-kmeans,1932362757,49695079086,1710953193207
fj-kmeans,1937600614,51674546483,1710953193207
fj-kmeans,1952164262,53659770317,1710953193207
fj-kmeans,1943156082,55659611880,1710953193207
fj-kmeans,1932940237,57651121843,1710953193207
fj-kmeans,1932027723,59631701707,1710953193207
