benchmark,duration_ns,uptime_ns,vm_start_unix_ms
fj-kmeans,2168400567,725324718,1710953568255
fj-kmeans,1925030957,3194153730,1710953568255
fj-kmeans,2000757150,5170566076,1710953568255
fj-kmeans,1808959683,7221345534,1710953568255
fj-kmeans,1843915076,9084510340,1710953568255
fj-kmeans,1810646216,11210283777,1710953568255
fj-kmeans,1799004121,13302762706,1710953568255
fj-kmeans,1799906230,15148747558,1710953568255
fj-kmeans,1790208606,16997648806,1710953568255
fj-kmeans,1793846690,18834459011,1710953568255
fj-kmeans,1794495362,20675208018,1710953568255
fj-kmeans,1802471279,22743027319,1710953568255
fj-kmeans,1796460591,24593036030,1710953568255
fj-kmeans,1796518322,26437085206,1710953568255
fj-kmeans,1791895822,28281320922,1710953568255
fj-kmeans,1791821379,30120232961,1710953568255
fj-kmeans,1803866183,31959401165,1710953568255
fj-kmeans,1789441366,33826108601,1710953568255
fj-kmeans,1793528154,35662613905,1710953568255
fj-kmeans,1799537469,37503866616,1710953568255
fj-kmeans,1798283110,39350900161,1710953568255
fj-kmeans,1798993612,41198427403,1710953568255
fj-kmeans,1796454891,43044086301,1710953568255
fj-kmeans,1791361298,44888187914,1710953568255
fj-kmeans,1789188433,46728568943,1710953568255
fj-kmeans,1790500879,48564630954,1710953568255
fj-kmeans,1793615023,50403932853,1710953568255
fj-kmeans,1791808377,52244661560,1710953568255
fj-kmeans,1784269332,54084754055,1710953568255
fj-kmeans,1813667261,55917830447,1710953568255
