benchmark,duration_ns,uptime_ns,vm_start_unix_ms
fj-kmeans,3201309316,773144042,1710953462553
fj-kmeans,3145610059,4299280422,1710953462553
fj-kmeans,3171277616,7497882577,1710953462553
fj-kmeans,3247854296,10721538307,1710953462553
fj-kmeans,3450637112,14033490612,1710953462553
fj-kmeans,3453979382,17800633676,1710953462553
fj-kmeans,3458976288,21569720767,1710953462553
fj-kmeans,3454108668,25081676888,1710953462553
fj-kmeans,3467460435,28587809016,1710953462553
fj-kmeans,3444791981,32107839569,1710953462553
fj-kmeans,3447472797,35604520690,1710953462553
fj-kmeans,3443653263,39104033080,1710953462553
fj-kmeans,3431090050,42599769827,1710953462553
fj-kmeans,3440600133,46083253669,1710953462553
fj-kmeans,3459117817,49576985507,1710953462553
fj-kmeans,3456176704,53087355284,1710953462553
fj-kmeans,3448287043,56596216111,1710953462553
fj-kmeans,3452925932,60097254315,1710953462553
fj-kmeans,3443211694,63602452074,1710953462553
fj-kmeans,3471130287,67097415557,1710953462553
fj-kmeans,3468915702,70621875435,1710953462553
fj-kmeans,3448893260,74143310034,1710953462553
fj-kmeans,3447154260,77644434911,1710953462553
fj-kmeans,3451571352,81143987106,1710953462553
fj-kmeans,3471171120,84648066962,1710953462553
fj-kmeans,3435707065,88171908700,1710953462553
fj-kmeans,3449617219,91659414626,1710953462553
fj-kmeans,3452788881,95161491670,1710953462553
fj-kmeans,3476489099,98667238361,1710953462553
fj-kmeans,3451884290,102195431918,1710953462553
