benchmark,duration_ns,uptime_ns,vm_start_unix_ms
fj-kmeans,2279791486,726023045,1710953711352
fj-kmeans,1916880546,3303194284,1710953711352
fj-kmeans,2016042437,5282924231,1710953711352
fj-kmeans,1981216382,7349697579,1710953711352
fj-kmeans,1890743590,9401328637,1710953711352
fj-kmeans,1891367997,11571309585,1710953711352
fj-kmeans,1893715263,13740618584,1710953711352
fj-kmeans,1887136596,15681301956,1710953711352
fj-kmeans,1883519318,17617235928,1710953711352
fj-kmeans,1882267005,19547570435,1710953711352
fj-kmeans,1891113202,21477497244,1710953711352
fj-kmeans,1881101197,23415540506,1710953711352
fj-kmeans,1877381051,25344439647,1710953711352
fj-kmeans,1887522754,27269553679,1710953711352
fj-kmeans,1885544154,29204381303,1710953711352
fj-kmeans,1892934510,31136434057,1710953711352
fj-kmeans,1877464586,33076325792,1710953711352
fj-kmeans,1909253731,35012157311,1710953711352
fj-kmeans,1895256433,36968770514,1710953711352
fj-kmeans,1889105291,38911092008,1710953711352
fj-kmeans,1891236874,40846693260,1710953711352
fj-kmeans,1887557399,42785722278,1710953711352
fj-kmeans,1888161656,44720156496,1710953711352
fj-kmeans,1880553261,46655010868,1710953711352
fj-kmeans,1888098936,48582414445,1710953711352
fj-kmeans,1889842087,50518423395,1710953711352
fj-kmeans,1896354359,52456243856,1710953711352
fj-kmeans,1883564757,54399974662,1710953711352
fj-kmeans,1894557535,56331292443,1710953711352
fj-kmeans,1886623181,58272632720,1710953711352
