benchmark,duration_ns,uptime_ns,vm_start_unix_ms
fj-kmeans,2273494609,781006158,1710953771562
fj-kmeans,2012433031,3345308280,1710953771562
fj-kmeans,2070558881,5406134187,1710953771562
fj-kmeans,1939253845,7524888347,1710953771562
fj-kmeans,1980730424,9512829550,1710953771562
fj-kmeans,1973746583,11541803534,1710953771562
fj-kmeans,1949783641,13567780606,1710953771562
fj-kmeans,1940879892,15564769648,1710953771562
fj-kmeans,1940660199,17553016426,1710953771562
fj-kmeans,1937955421,19540610026,1710953771562
fj-kmeans,1934647084,21526855187,1710953771562
fj-kmeans,1933488122,23508186263,1710953771562
fj-kmeans,1936131812,25488691846,1710953771562
fj-kmeans,1936603318,27471603868,1710953771562
fj-kmeans,1951780953,29455468401,1710953771562
fj-kmeans,1936948494,31457102583,1710953771562
fj-kmeans,1934007437,33442263189,1710953771562
fj-kmeans,1934636345,35422900875,1710953771562
fj-kmeans,1933853227,37405414739,1710953771562
fj-kmeans,1942650759,39386868893,1710953771562
fj-kmeans,1940764069,41376560944,1710953771562
fj-kmeans,1944288725,43364561816,1710953771562
fj-kmeans,1937229217,45356481393,1710953771562
fj-kmeans,1926600805,47341710280,1710953771562
fj-kmeans,1938556055,49316667683,1710953771562
fj-kmeans,1940796807,51302818822,1710953771562
fj-kmeans,1945903538,53290847178,1710953771562
fj-kmeans,1934488480,55284053928,1710953771562
fj-kmeans,1934435168,57265314439,1710953771562
fj-kmeans,1939678942,59247027301,1710953771562
