benchmark,duration_ns,uptime_ns,vm_start_unix_ms
fj-kmeans,2216422278,786193392,1710953888997
fj-kmeans,1974177821,3304280448,1710953888997
fj-kmeans,1945809557,5328853513,1710953888997
fj-kmeans,1897639356,7322119903,1710953888997
fj-kmeans,1895557546,9503339411,1710953888997
fj-kmeans,1963048374,11447553779,1710953888997
fj-kmeans,1909821451,13463509923,1710953888997
fj-kmeans,1890050695,15420372353,1710953888997
fj-kmeans,1893236187,17357512436,1710953888997
fj-kmeans,1883860493,19298535079,1710953888997
fj-kmeans,1896516690,21229866575,1710953888997
fj-kmeans,1903947143,23174923080,1710953888997
fj-kmeans,1897867619,25125597966,1710953888997
fj-kmeans,1889766981,27070439934,1710953888997
fj-kmeans,1900797733,29007513750,1710953888997
fj-kmeans,1879310680,30955856904,1710953888997
fj-kmeans,1885401438,32882246972,1710953888997
fj-kmeans,1879882600,34814469756,1710953888997
fj-kmeans,1883282759,36741583491,1710953888997
fj-kmeans,1892245660,38672156353,1710953888997
fj-kmeans,1896951863,40612504023,1710953888997
fj-kmeans,1902411645,42556539973,1710953888997
fj-kmeans,1891651094,44506740122,1710953888997
fj-kmeans,1898650467,46445040357,1710953888997
fj-kmeans,1888553778,48391171588,1710953888997
fj-kmeans,1890322596,50327016234,1710953888997
fj-kmeans,1906204580,52264347381,1710953888997
fj-kmeans,1899526765,54218410254,1710953888997
fj-kmeans,1909911105,56167405971,1710953888997
fj-kmeans,1878790299,58124342114,1710953888997
