benchmark,duration_ns,uptime_ns,vm_start_unix_ms
fj-kmeans,2327353624,744573471,1710953949063
fj-kmeans,2110588396,3373697498,1710953949063
fj-kmeans,1980388020,5536312756,1710953949063
fj-kmeans,1948301916,7570352121,1710953949063
fj-kmeans,2011347942,9800368718,1710953949063
fj-kmeans,1957457198,11865100739,1710953949063
fj-kmeans,1959212873,14104020844,1710953949063
fj-kmeans,1932459151,16110846230,1710953949063
fj-kmeans,1940518331,18091112535,1710953949063
fj-kmeans,1932201395,20079173725,1710953949063
fj-kmeans,1949520794,22058996774,1710953949063
fj-kmeans,1939056329,24055953657,1710953949063
fj-kmeans,1940380931,26042738877,1710953949063
fj-kmeans,1933696850,28032220117,1710953949063
fj-kmeans,1941038187,30013422856,1710953949063
fj-kmeans,1942383442,32001211220,1710953949063
fj-kmeans,1940030666,33994584612,1710953949063
fj-kmeans,1935812260,35985322024,1710953949063
fj-kmeans,1933067067,37968190537,1710953949063
fj-kmeans,1931951459,39948746216,1710953949063
fj-kmeans,1936963392,41928471517,1710953949063
fj-kmeans,1935891381,43912809546,1710953949063
fj-kmeans,1957577305,45896896233,1710953949063
fj-kmeans,1936663507,47901760103,1710953949063
fj-kmeans,1938016546,49885333111,1710953949063
fj-kmeans,1931058444,51870631011,1710953949063
fj-kmeans,1958063276,53849120984,1710953949063
fj-kmeans,1932695076,55854062907,1710953949063
fj-kmeans,1944003335,57833584019,1710953949063
fj-kmeans,1945899370,59824971772,1710953949063
