benchmark,duration_ns,uptime_ns,vm_start_unix_ms
fj-kmeans,2189809867,742669916,1710954127098
fj-kmeans,1948305213,3230343074,1710954127098
fj-kmeans,1917838811,5229648099,1710954127098
fj-kmeans,1745528709,7194983273,1710954127098
fj-kmeans,1737893908,9220216519,1710954127098
fj-kmeans,1782825551,11029071211,1710954127098
fj-kmeans,1746946851,12900809496,1710954127098
fj-kmeans,1728495610,14694948146,1710954127098
fj-kmeans,1734091600,16471077454,1710954127098
fj-kmeans,1751927150,18252871538,1710954127098
fj-kmeans,1730205447,20052713266,1710954127098
fj-kmeans,1728974576,21830233324,1710954127098
fj-kmeans,1737534289,23607199240,1710954127098
fj-kmeans,1721253975,25392490856,1710954127098
fj-kmeans,1724008482,27161963640,1710954127098
fj-kmeans,1724762962,28933996390,1710954127098
fj-kmeans,1729724635,30707639803,1710954127098
fj-kmeans,1731496373,32498804403,1710954127098
fj-kmeans,1729240689,34278959215,1710954127098
fj-kmeans,1732939311,36053765803,1710954127098
fj-kmeans,1726936273,37834972521,1710954127098
fj-kmeans,1720355141,39606626105,1710954127098
fj-kmeans,1725443984,41371575097,1710954127098
fj-kmeans,1716116421,43141158502,1710954127098
fj-kmeans,1723596858,44903172562,1710954127098
fj-kmeans,1727357369,46671597118,1710954127098
fj-kmeans,1721535196,48443142936,1710954127098
fj-kmeans,1725993486,50209799830,1710954127098
fj-kmeans,1720938171,51981186491,1710954127098
fj-kmeans,1725379919,53746852685,1710954127098
