benchmark,duration_ns,uptime_ns,vm_start_unix_ms
fj-kmeans,2187884113,800685112,1710954010883
fj-kmeans,1931317133,3294599732,1710954010883
fj-kmeans,1872557741,5277187165,1710954010883
fj-kmeans,1739360564,7200515028,1710954010883
fj-kmeans,1761134670,8989232364,1710954010883
fj-kmeans,1720414375,11026620089,1710954010883
fj-kmeans,1748694589,12815756459,1710954010883
fj-kmeans,1724332381,14614453624,1710954010883
fj-kmeans,1718282863,16386672966,1710954010883
fj-kmeans,1752482775,18151958236,1710954010883
fj-kmeans,1714162761,19952628980,1710954010883
fj-kmeans,1720183894,21714427595,1710954010883
fj-kmeans,1720813504,23481362018,1710954010883
fj-kmeans,1711620872,25249907210,1710954010883
fj-kmeans,1726714138,27008886701,1710954010883
fj-kmeans,1731109795,28782973336,1710954010883
fj-kmeans,1727017466,30562065747,1710954010883
fj-kmeans,1716757780,32339894317,1710954010883
fj-kmeans,1716345951,34103912139,1710954010883
fj-kmeans,1730051331,35867942330,1710954010883
fj-kmeans,1723641620,37645033753,1710954010883
fj-kmeans,1711643672,39416090542,1710954010883
fj-kmeans,1714953984,41175175171,1710954010883
fj-kmeans,1713119225,42951112128,1710954010883
fj-kmeans,1715089286,44709238598,1710954010883
fj-kmeans,1722771446,46469694348,1710954010883
fj-kmeans,1708777151,48237940611,1710954010883
fj-kmeans,1721979272,49992252809,1710954010883
fj-kmeans,1710900291,51759077101,1710954010883
fj-kmeans,1715068106,53515382402,1710954010883
