benchmark,duration_ns,uptime_ns,vm_start_unix_ms
fj-kmeans,2283591237,749138153,1710954066169
fj-kmeans,1953158664,3334702174,1710954066169
fj-kmeans,2006857263,5338608813,1710954066169
fj-kmeans,1930857785,7392678092,1710954066169
fj-kmeans,1980829471,9379936771,1710954066169
fj-kmeans,1924407825,11643708775,1710954066169
fj-kmeans,1923916211,13852715234,1710954066169
fj-kmeans,1912845521,15824619402,1710954066169
fj-kmeans,1905750584,17785727266,1710954066169
fj-kmeans,1906270661,19738682939,1710954066169
fj-kmeans,1915008387,21693968505,1710954066169
fj-kmeans,1916898154,23655778618,1710954066169
fj-kmeans,1910422047,25627670772,1710954066169
fj-kmeans,1910565170,27585170035,1710954066169
fj-kmeans,1922215893,29545131810,1710954066169
fj-kmeans,1909089054,31515172936,1710954066169
fj-kmeans,1905145597,33471569387,1710954066169
fj-kmeans,1902884316,35426922235,1710954066169
fj-kmeans,1908316367,37377003956,1710954066169
fj-kmeans,1920637990,39334564854,1710954066169
fj-kmeans,1906920600,41302209321,1710954066169
fj-kmeans,1906529266,43256726594,1710954066169
fj-kmeans,1915452400,45210364638,1710954066169
fj-kmeans,1918056536,47173507459,1710954066169
fj-kmeans,1915982389,49139800629,1710954066169
fj-kmeans,1903893465,51103583525,1710954066169
fj-kmeans,1923022260,53054517901,1710954066169
fj-kmeans,1910243576,55024519723,1710954066169
fj-kmeans,1920214899,56983708861,1710954066169
fj-kmeans,1921950333,58950955426,1710954066169
