benchmark,duration_ns,uptime_ns,vm_start_unix_ms
future-genetic,1815174526,276402894,1710911693852
future-genetic,1271051026,2107665480,1710911693852
future-genetic,1240224179,3386904731,1710911693852
future-genetic,1236149186,4632677563,1710911693852
future-genetic,1233807094,5874502723,1710911693852
future-genetic,1172293677,7119290417,1710911693852
future-genetic,1198965554,8302710932,1710911693852
future-genetic,1157681697,9506760935,1710911693852
future-genetic,1160142805,10669492084,1710911693852
future-genetic,1146824750,11835710124,1710911693852
future-genetic,1167635702,12994539742,1710911693852
future-genetic,1092603446,14169265452,1710911693852
future-genetic,1094934938,15267172252,1710911693852
future-genetic,1086776290,16367215161,1710911693852
future-genetic,1084576549,17459062680,1710911693852
future-genetic,1102072888,18548760136,1710911693852
future-genetic,1108552929,19655954437,1710911693852
future-genetic,1126033155,20769710734,1710911693852
future-genetic,1078793366,21900868556,1710911693852
future-genetic,1093153258,22984727509,1710911693852
future-genetic,1077977702,24082921087,1710911693852
future-genetic,1086788664,25166035157,1710911693852
future-genetic,1092552451,26257977923,1710911693852
future-genetic,1081443623,27355941056,1710911693852
future-genetic,1079267213,28442588168,1710911693852
future-genetic,1075665488,29527196034,1710911693852
future-genetic,1079932703,30608070889,1710911693852
future-genetic,1078521945,31693293813,1710911693852
future-genetic,1071337827,32776835291,1710911693852
future-genetic,1071818001,33853223685,1710911693852
future-genetic,1072980980,34929998004,1710911693852
future-genetic,1076271554,36008064108,1710911693852
future-genetic,1075393349,37089359331,1710911693852
future-genetic,1077558489,38169941376,1710911693852
future-genetic,1073158971,39252461342,1710911693852
future-genetic,1069439840,40330659868,1710911693852
future-genetic,1072905654,41405174629,1710911693852
future-genetic,1073602198,42483238304,1710911693852
future-genetic,1072275576,43561853976,1710911693852
future-genetic,1067757377,44639176842,1710911693852
future-genetic,1071664162,45712096814,1710911693852
future-genetic,1072323457,46788781334,1710911693852
future-genetic,1075563151,47866141653,1710911693852
future-genetic,1063263838,48946717838,1710911693852
future-genetic,1073072869,50015121100,1710911693852
future-genetic,1073434206,51093310070,1710911693852
future-genetic,1070899312,52171729096,1710911693852
future-genetic,1078133234,53247672074,1710911693852
future-genetic,1076406500,54330869173,1710911693852
future-genetic,1069444604,55412291447,1710911693852
