benchmark,duration_ns,uptime_ns,vm_start_unix_ms
future-genetic,1596212732,274644854,1710911988414
future-genetic,1232747170,1882921554,1710911988414
future-genetic,1204172980,3126147710,1710911988414
future-genetic,1210795419,4335665686,1710911988414
future-genetic,1197936222,5551485402,1710911988414
future-genetic,1186047612,6754603713,1710911988414
future-genetic,1192781711,7945733356,1710911988414
future-genetic,1208176925,9144272638,1710911988414
future-genetic,1150654750,10358162645,1710911988414
future-genetic,1179562293,11519920614,1710911988414
future-genetic,1137371261,12722740932,1710911988414
future-genetic,1113221416,13865255448,1710911988414
future-genetic,1096273332,14983681376,1710911988414
future-genetic,1102932415,16085052284,1710911988414
future-genetic,1121373836,17193094757,1710911988414
future-genetic,1093803280,18336174888,1710911988414
future-genetic,1089041702,19435179421,1710911988414
future-genetic,1096054726,20529491774,1710911988414
future-genetic,1135566610,21630569218,1710911988414
future-genetic,1143687304,22771135595,1710911988414
future-genetic,1091639560,23919964559,1710911988414
future-genetic,1095438721,25016745257,1710911988414
future-genetic,1094504719,26117362399,1710911988414
future-genetic,1113012912,27217096629,1710911988414
future-genetic,1096491897,28335240969,1710911988414
future-genetic,1089255941,29436812120,1710911988414
future-genetic,1093060305,30531232515,1710911988414
future-genetic,1097980792,31629483350,1710911988414
future-genetic,1088419981,32732504892,1710911988414
future-genetic,1083263064,33825901542,1710911988414
future-genetic,1084077957,34914257421,1710911988414
future-genetic,1085956177,36003382476,1710911988414
future-genetic,1085443289,37094527291,1710911988414
future-genetic,1084803245,38185188982,1710911988414
future-genetic,1088336416,39275202712,1710911988414
future-genetic,1082296041,40368780449,1710911988414
future-genetic,1084281129,41456158783,1710911988414
future-genetic,1086982526,42545524682,1710911988414
future-genetic,1090332081,43637645321,1710911988414
future-genetic,1084474885,44733143955,1710911988414
future-genetic,1082625521,45822668812,1710911988414
future-genetic,1086506583,46910286225,1710911988414
future-genetic,1086369826,48001789330,1710911988414
future-genetic,1091296256,49093160397,1710911988414
future-genetic,1085675305,50189406303,1710911988414
future-genetic,1091267570,51280269980,1710911988414
future-genetic,1095722604,52376642302,1710911988414
future-genetic,1082001053,53477342824,1710911988414
future-genetic,1085881272,54564377193,1710911988414
future-genetic,1086380803,55655260781,1710911988414
