benchmark,duration_ns,uptime_ns,vm_start_unix_ms
future-genetic,1578821454,270750552,1710912410437
future-genetic,1258258380,1861746754,1710912410437
future-genetic,1179962751,3125736446,1710912410437
future-genetic,1173679515,4312005913,1710912410437
future-genetic,1170244682,5490822234,1710912410437
future-genetic,1150808564,6666227508,1710912410437
future-genetic,1125751646,7822099378,1710912410437
future-genetic,1143526473,8953289315,1710912410437
future-genetic,1155730106,10107701566,1710912410437
future-genetic,1159971458,11268461664,1710912410437
future-genetic,1194291660,12433885092,1710912410437
future-genetic,1093414525,13633371098,1710912410437
future-genetic,1088526342,14731799429,1710912410437
future-genetic,1099718040,15825422443,1710912410437
future-genetic,1081977600,16930025742,1710912410437
future-genetic,1084677735,18017051982,1710912410437
future-genetic,1085178359,19106816765,1710912410437
future-genetic,1077850131,20197087735,1710912410437
future-genetic,1078875764,21279957210,1710912410437
future-genetic,1086619769,22364094121,1710912410437
future-genetic,1098884472,23455650136,1710912410437
future-genetic,1075967740,24559684178,1710912410437
future-genetic,1078209466,25640855539,1710912410437
future-genetic,1080608826,26724215215,1710912410437
future-genetic,1093575758,27810031777,1710912410437
future-genetic,1076078443,28908689127,1710912410437
future-genetic,1083335496,29989779473,1710912410437
future-genetic,1081347560,31078116337,1710912410437
future-genetic,1073366341,32164611604,1710912410437
future-genetic,1071593995,33242903193,1710912410437
future-genetic,1067626568,34319683355,1710912410437
future-genetic,1079394998,35392316873,1710912410437
future-genetic,1078883703,36476908602,1710912410437
future-genetic,1078309203,37560897015,1710912410437
future-genetic,1077377046,38644223301,1710912410437
future-genetic,1066623027,39726585579,1710912410437
future-genetic,1075316871,40798217231,1710912410437
future-genetic,1073168584,41878737633,1710912410437
future-genetic,1073926850,42956884263,1710912410437
future-genetic,1069485305,44035816266,1710912410437
future-genetic,1073120747,45110328893,1710912410437
future-genetic,1079787963,46188541508,1710912410437
future-genetic,1077399037,47273320851,1710912410437
future-genetic,1074710713,48355902815,1710912410437
future-genetic,1072142010,49435629681,1710912410437
future-genetic,1075021722,50512777425,1710912410437
future-genetic,1076755045,51593016454,1710912410437
future-genetic,1073877628,52674708489,1710912410437
future-genetic,1074391419,53753550429,1710912410437
future-genetic,1071853843,54832972256,1710912410437
