benchmark,duration_ns,uptime_ns,vm_start_unix_ms
gauss-mix,3284989068,2290616774,1711108057085
gauss-mix,2129211000,5643546479,1711108057085
gauss-mix,1888804226,7839733974,1711108057085
gauss-mix,1911264944,9796308523,1711108057085
gauss-mix,1506679284,12124496445,1711108057085
gauss-mix,1559909972,13695755961,1711108057085
gauss-mix,1291127797,15320399464,1711108057085
gauss-mix,1432439768,16666493217,1711108057085
gauss-mix,1426465384,18154599273,1711108057085
gauss-mix,1576915908,19661699970,1711108057085
gauss-mix,1483113346,21292491555,1711108057085
gauss-mix,1418113102,22845184762,1711108057085
gauss-mix,1284201187,24312977206,1711108057085
gauss-mix,1478781999,25648272686,1711108057085
gauss-mix,1343155191,27177952946,1711108057085
gauss-mix,1330836502,28591519750,1711108057085
gauss-mix,1313017802,29967663443,1711108057085
gauss-mix,1277282941,31331149260,1711108057085
gauss-mix,1318983756,32660654032,1711108057085
gauss-mix,1278230266,34031837576,1711108057085
gauss-mix,1289126159,35361480777,1711108057085
gauss-mix,1119095186,36708082324,1711108057085
gauss-mix,1263735593,37885227731,1711108057085
gauss-mix,1249576023,39206614779,1711108057085
gauss-mix,1275161182,40508323561,1711108057085
gauss-mix,1230817200,41836585635,1711108057085
gauss-mix,1314303047,43119921626,1711108057085
gauss-mix,1146960816,44490789545,1711108057085
gauss-mix,1440556205,45690119151,1711108057085
gauss-mix,1224388646,47191337311,1711108057085
gauss-mix,1259163613,48477465684,1711108057085
gauss-mix,1216042166,49790548420,1711108057085
gauss-mix,1160594788,51068106777,1711108057085
gauss-mix,1299135403,52283517094,1711108057085
gauss-mix,1254722828,53627114792,1711108057085
gauss-mix,1197805051,54923557818,1711108057085
gauss-mix,1235334456,56183362269,1711108057085
gauss-mix,1293237681,57460153819,1711108057085
gauss-mix,1265816645,58816566585,1711108057085
gauss-mix,1259663686,60138753761,1711108057085
