benchmark,duration_ns,uptime_ns,vm_start_unix_ms
gauss-mix,3029937702,2341697864,1711108173359
gauss-mix,1603964025,5440212738,1711108173359
gauss-mix,1630233913,7112835757,1711108173359
gauss-mix,1771295870,8810090921,1711108173359
gauss-mix,1822682785,10649158584,1711108173359
gauss-mix,1747044883,12552024938,1711108173359
gauss-mix,1670984762,14361780816,1711108173359
gauss-mix,1673715851,16091131211,1711108173359
gauss-mix,1464071967,17822801169,1711108173359
gauss-mix,1455121004,19339517610,1711108173359
gauss-mix,1327779449,20846311129,1711108173359
gauss-mix,1434009779,22227994617,1711108173359
gauss-mix,1337152663,23714847447,1711108173359
gauss-mix,1661137529,25112503958,1711108173359
gauss-mix,1615518802,26892662766,1711108173359
gauss-mix,1474537997,28605069105,1711108173359
gauss-mix,1282424677,30131876368,1711108173359
gauss-mix,1237249651,31467522906,1711108173359
gauss-mix,1228883966,32758451915,1711108173359
gauss-mix,1171942915,34035579167,1711108173359
gauss-mix,1184838407,35252943097,1711108173359
gauss-mix,1176622259,36491611015,1711108173359
gauss-mix,1195050978,37728840421,1711108173359
gauss-mix,1261098397,38973634349,1711108173359
gauss-mix,1168010301,40287726546,1711108173359
gauss-mix,1163707340,41511324269,1711108173359
gauss-mix,1225777679,42729739929,1711108173359
gauss-mix,1210070200,44009624256,1711108173359
gauss-mix,1384712931,45274526780,1711108173359
gauss-mix,1192764970,46714021180,1711108173359
gauss-mix,1152434362,47969161504,1711108173359
gauss-mix,1087389945,49177418076,1711108173359
gauss-mix,1174226389,50319742619,1711108173359
gauss-mix,1156946739,51551281957,1711108173359
gauss-mix,1150734951,52751461958,1711108173359
gauss-mix,1068286743,53958061355,1711108173359
gauss-mix,1189983085,55079219562,1711108173359
gauss-mix,1217296143,56312943469,1711108173359
gauss-mix,1171740971,57582546776,1711108173359
gauss-mix,1224457807,58797794148,1711108173359
