benchmark,duration_ns,uptime_ns,vm_start_unix_ms
gauss-mix,3240927397,2290317551,1711108294705
gauss-mix,1895767685,5608854475,1711108294705
gauss-mix,1584062797,7579713217,1711108294705
gauss-mix,1543815006,9231147439,1711108294705
gauss-mix,1482473344,10851458759,1711108294705
gauss-mix,1633554635,12397257327,1711108294705
gauss-mix,1660553463,14091841171,1711108294705
gauss-mix,1733466565,15821114452,1711108294705
gauss-mix,1433282740,17625158438,1711108294705
gauss-mix,1269615569,19118238152,1711108294705
gauss-mix,1221020378,20457383429,1711108294705
gauss-mix,1359632404,21757929228,1711108294705
gauss-mix,1219563378,23179334324,1711108294705
gauss-mix,1447063130,24457966788,1711108294705
gauss-mix,1449673990,25965172392,1711108294705
gauss-mix,1483173443,27495440087,1711108294705
gauss-mix,1423321877,29106209700,1711108294705
gauss-mix,1213243637,30589415246,1711108294705
gauss-mix,1361268422,31866697388,1711108294705
gauss-mix,1248833735,33289262656,1711108294705
gauss-mix,1258898964,34599373318,1711108294705
gauss-mix,1130755582,35919788626,1711108294705
gauss-mix,1125460116,37103494929,1711108294705
gauss-mix,1144086097,38290901223,1711108294705
gauss-mix,1163742246,39496855701,1711108294705
gauss-mix,1133654196,40724327066,1711108294705
gauss-mix,1134449776,41903369025,1711108294705
gauss-mix,1279193000,43083402474,1711108294705
gauss-mix,1367216448,44409707614,1711108294705
gauss-mix,1186893358,45831564892,1711108294705
gauss-mix,1206848265,47091647858,1711108294705
gauss-mix,1161536508,48344752367,1711108294705
gauss-mix,1136117494,49568039178,1711108294705
gauss-mix,1247461398,50767769192,1711108294705
gauss-mix,1141992408,52071848859,1711108294705
gauss-mix,1153105865,53278379624,1711108294705
gauss-mix,1186446248,54486492937,1711108294705
gauss-mix,1186353071,55736351030,1711108294705
gauss-mix,1097771293,56962878351,1711108294705
gauss-mix,1121685420,58116375675,1711108294705
