benchmark,duration_ns,uptime_ns,vm_start_unix_ms
gauss-mix,3153148528,2405389572,1711108354050
gauss-mix,1716835193,5626345022,1711108354050
gauss-mix,1770591251,7419586926,1711108354050
gauss-mix,1519077900,9268431574,1711108354050
gauss-mix,1524213059,10848587977,1711108354050
gauss-mix,1617523184,12439502481,1711108354050
gauss-mix,1464985640,14116176297,1711108354050
gauss-mix,1478711173,15641361709,1711108354050
gauss-mix,1487844158,17181537303,1711108354050
gauss-mix,1393791965,18729468906,1711108354050
gauss-mix,1292296156,20289873470,1711108354050
gauss-mix,1453554422,21642138429,1711108354050
gauss-mix,1248418405,23176313138,1711108354050
gauss-mix,1271166948,24482386419,1711108354050
gauss-mix,1663219012,25814597172,1711108354050
gauss-mix,1587027150,28066967689,1711108354050
gauss-mix,1476460605,29714289012,1711108354050
gauss-mix,1315497368,31252557911,1711108354050
gauss-mix,1239528899,32637084424,1711108354050
gauss-mix,1216142289,33937610299,1711108354050
gauss-mix,1268504134,35211624959,1711108354050
gauss-mix,1248295651,36552957859,1711108354050
gauss-mix,1195690379,37864272711,1711108354050
gauss-mix,1187642652,39124695613,1711108354050
gauss-mix,1234993715,40373150817,1711108354050
gauss-mix,1163191616,41665216119,1711108354050
gauss-mix,1190686317,42897951828,1711108354050
gauss-mix,1139576905,44151893768,1711108354050
gauss-mix,1247666077,45353434616,1711108354050
gauss-mix,1125089953,46665319693,1711108354050
gauss-mix,1246520578,47854604850,1711108354050
gauss-mix,1259361139,49175139771,1711108354050
gauss-mix,1155485843,50507837933,1711108354050
gauss-mix,1187067370,51722691937,1711108354050
gauss-mix,1188273928,52973189027,1711108354050
gauss-mix,1208329638,54220329491,1711108354050
gauss-mix,1238146322,55486584020,1711108354050
gauss-mix,1245957202,56784834586,1711108354050
gauss-mix,1270487142,58089059099,1711108354050
gauss-mix,1250128539,59424083957,1711108354050
