benchmark,duration_ns,uptime_ns,vm_start_unix_ms
gauss-mix,3130601157,2363358401,1711108474263
gauss-mix,1767026249,5561200071,1711108474263
gauss-mix,1685518084,7394219880,1711108474263
gauss-mix,1806217238,9148232343,1711108474263
gauss-mix,1641492731,11021762260,1711108474263
gauss-mix,1583451912,12733148333,1711108474263
gauss-mix,1550127714,14379987558,1711108474263
gauss-mix,1747824658,15991703271,1711108474263
gauss-mix,1683878869,17800364914,1711108474263
gauss-mix,1668774885,19556134717,1711108474263
gauss-mix,1702260547,21286714653,1711108474263
gauss-mix,1503244694,23059328680,1711108474263
gauss-mix,1631224304,24635377825,1711108474263
gauss-mix,1654583700,26328127633,1711108474263
gauss-mix,1594062849,28044829902,1711108474263
gauss-mix,1397180415,29699761531,1711108474263
gauss-mix,1454227581,31159511405,1711108474263
gauss-mix,1424925014,32675707810,1711108474263
gauss-mix,1528963732,34162650660,1711108474263
gauss-mix,1525569632,35764533155,1711108474263
gauss-mix,1440308661,37354109256,1711108474263
gauss-mix,1408301711,38856895236,1711108474263
gauss-mix,1510223078,40330161498,1711108474263
gauss-mix,1364133730,41913754824,1711108474263
gauss-mix,1379885863,43349990567,1711108474263
gauss-mix,1360520900,44804701715,1711108474263
gauss-mix,1535778259,46228221070,1711108474263
gauss-mix,1434742060,47835340863,1711108474263
gauss-mix,1602071694,49334888246,1711108474263
gauss-mix,1549178126,51000696095,1711108474263
gauss-mix,1412886276,52615040662,1711108474263
gauss-mix,1370387038,54089701861,1711108474263
gauss-mix,1580324174,55523097292,1711108474263
gauss-mix,1508187910,57179198115,1711108474263
gauss-mix,1427923772,58771573971,1711108474263
gauss-mix,1463882572,60262383075,1711108474263
gauss-mix,1443381884,61791344361,1711108474263
gauss-mix,1375247378,63302636900,1711108474263
gauss-mix,1341502085,64741770183,1711108474263
gauss-mix,1391649057,66149526876,1711108474263
