benchmark,duration_ns,uptime_ns,vm_start_unix_ms
gauss-mix,3102603265,2350472041,1711108937930
gauss-mix,1690400260,5521976790,1711108937930
gauss-mix,1527799379,7274026192,1711108937930
gauss-mix,1532909219,8869367703,1711108937930
gauss-mix,1643574373,10467684680,1711108937930
gauss-mix,1681198630,12172358379,1711108937930
gauss-mix,1630174077,13915225082,1711108937930
gauss-mix,1533243011,15612346174,1711108937930
gauss-mix,1339556577,17194069726,1711108937930
gauss-mix,1254469652,18598081840,1711108937930
gauss-mix,1338825982,19912255358,1711108937930
gauss-mix,1432175045,21308621247,1711108937930
gauss-mix,1194789820,22799568859,1711108937930
gauss-mix,1414740291,24054752460,1711108937930
gauss-mix,1286930264,25528993312,1711108937930
gauss-mix,1198624082,26875715471,1711108937930
gauss-mix,1251364020,28134730438,1711108937930
gauss-mix,1099199647,29433798133,1711108937930
gauss-mix,1164495498,30584777786,1711108937930
gauss-mix,1100632097,31796420360,1711108937930
gauss-mix,1155620592,32951112781,1711108937930
gauss-mix,1162717452,34158337017,1711108937930
gauss-mix,1073269489,35390686720,1711108937930
gauss-mix,1040849710,36515434926,1711108937930
gauss-mix,1183980586,37604132363,1711108937930
gauss-mix,1335996266,38990442598,1711108937930
gauss-mix,1107266166,40379096664,1711108937930
gauss-mix,1147895603,41541884375,1711108937930
gauss-mix,1223031228,42745707491,1711108937930
gauss-mix,1025577992,44021164310,1711108937930
gauss-mix,1028407555,45086222626,1711108937930
gauss-mix,1104284068,46178715341,1711108937930
gauss-mix,990347132,47330202178,1711108937930
gauss-mix,1093553142,48383339933,1711108937930
gauss-mix,992816627,49532708848,1711108937930
gauss-mix,1051408060,50569892466,1711108937930
gauss-mix,1117441562,51665871032,1711108937930
gauss-mix,1118370602,52846963708,1711108937930
gauss-mix,1124490448,54016119913,1711108937930
gauss-mix,1096679134,55184623581,1711108937930
