benchmark,duration_ns,uptime_ns,vm_start_unix_ms
gauss-mix,3513057481,2221932006,1711108803368
gauss-mix,2210240895,5801402937,1711108803368
gauss-mix,2065825674,8088651316,1711108803368
gauss-mix,1885555584,10224571596,1711108803368
gauss-mix,2042533312,12180011288,1711108803368
gauss-mix,3438690431,14288092141,1711108803368
gauss-mix,3781114475,17802161518,1711108803368
gauss-mix,3566135099,21644301486,1711108803368
gauss-mix,3223758524,25273077637,1711108803368
gauss-mix,3723089270,28550162366,1711108803368
gauss-mix,3677614765,32331264145,1711108803368
gauss-mix,3266201684,36069716034,1711108803368
gauss-mix,3359167334,39392314151,1711108803368
gauss-mix,3150190777,42816373814,1711108803368
gauss-mix,3369891080,46021110877,1711108803368
gauss-mix,3092052047,49447550888,1711108803368
gauss-mix,3198479813,52593784632,1711108803368
gauss-mix,3240503223,55856707083,1711108803368
gauss-mix,3165148402,59149611979,1711108803368
gauss-mix,3636980678,62368338575,1711108803368
gauss-mix,3180761032,66068217053,1711108803368
gauss-mix,3457562009,69302154735,1711108803368
gauss-mix,3142543126,72816762005,1711108803368
gauss-mix,3617920203,76019594277,1711108803368
gauss-mix,3394026547,79696393218,1711108803368
gauss-mix,3326027017,83155666256,1711108803368
gauss-mix,3297482068,86526843075,1711108803368
gauss-mix,3371548303,89885966127,1711108803368
gauss-mix,3531250568,93322895653,1711108803368
gauss-mix,3354556917,96912285328,1711108803368
gauss-mix,3138932390,100313629719,1711108803368
gauss-mix,3385859468,103505626124,1711108803368
gauss-mix,3305337874,106947270170,1711108803368
gauss-mix,3320338139,110310766954,1711108803368
gauss-mix,3438021890,113685818241,1711108803368
gauss-mix,3482665436,117180268284,1711108803368
gauss-mix,3572656802,120723065786,1711108803368
gauss-mix,3535606585,124355629991,1711108803368
gauss-mix,3130355629,127932916748,1711108803368
gauss-mix,3341745801,131121508492,1711108803368
