benchmark,duration_ns,uptime_ns,vm_start_unix_ms
gauss-mix,3514109542,2287949792,1711109427676
gauss-mix,1743282186,5879007714,1711109427676
gauss-mix,1641877788,7700593123,1711109427676
gauss-mix,1768460758,9410731133,1711109427676
gauss-mix,1774736689,11259559710,1711109427676
gauss-mix,1415198642,13099443634,1711109427676
gauss-mix,1331761157,14578881275,1711109427676
gauss-mix,1455611718,16167837559,1711109427676
gauss-mix,1245074947,17682643724,1711109427676
gauss-mix,1665928976,18989586368,1711109427676
gauss-mix,1539989987,20741806097,1711109427676
gauss-mix,1704132903,22605762635,1711109427676
gauss-mix,1786499608,24374267377,1711109427676
gauss-mix,1716840584,26223366109,1711109427676
gauss-mix,1861319474,28002122317,1711109427676
gauss-mix,1812464567,29932763171,1711109427676
gauss-mix,1858778218,31806847088,1711109427676
gauss-mix,1869507494,33736248032,1711109427676
gauss-mix,1846291800,35668604886,1711109427676
gauss-mix,1749406238,37577127085,1711109427676
gauss-mix,1859162474,39398454473,1711109427676
gauss-mix,1870909135,41320117523,1711109427676
gauss-mix,1805218119,43253814012,1711109427676
gauss-mix,1755450423,45121977633,1711109427676
gauss-mix,1892352911,46949378945,1711109427676
gauss-mix,1857688839,48904320436,1711109427676
gauss-mix,1900206207,50825409003,1711109427676
gauss-mix,1775354771,52791092343,1711109427676
gauss-mix,1841981954,54630345706,1711109427676
gauss-mix,1941801712,56531494201,1711109427676
gauss-mix,1898290994,58538391812,1711109427676
gauss-mix,1717730809,60496356884,1711109427676
gauss-mix,1783594102,62288948423,1711109427676
gauss-mix,1707768021,64137361319,1711109427676
gauss-mix,1692769923,65910559985,1711109427676
gauss-mix,1663800245,67668899365,1711109427676
gauss-mix,1666456711,69393370979,1711109427676
gauss-mix,1771998404,71126957506,1711109427676
gauss-mix,1804023456,72964747282,1711109427676
gauss-mix,1756912319,74844443642,1711109427676
