benchmark,duration_ns,uptime_ns,vm_start_unix_ms
gauss-mix,3733062648,2278252915,1711109504390
gauss-mix,2317954504,6078440451,1711109504390
gauss-mix,2049679264,8465238361,1711109504390
gauss-mix,2174572569,10575733915,1711109504390
gauss-mix,1999750615,12828442770,1711109504390
gauss-mix,1842770624,14894881646,1711109504390
gauss-mix,1617100783,16810296491,1711109504390
gauss-mix,1665937815,18494542666,1711109504390
gauss-mix,1557429029,20216161786,1711109504390
gauss-mix,1634420739,21838619216,1711109504390
gauss-mix,1375524999,23527745910,1711109504390
gauss-mix,1565862944,24967395120,1711109504390
gauss-mix,1681933068,26596049271,1711109504390
gauss-mix,1673529658,28333757317,1711109504390
gauss-mix,1614396647,30070347044,1711109504390
gauss-mix,1583792912,31741399420,1711109504390
gauss-mix,1443710414,33381872540,1711109504390
gauss-mix,1382362580,34882035392,1711109504390
gauss-mix,1365947364,36327738729,1711109504390
gauss-mix,1478669131,37752267384,1711109504390
gauss-mix,1405763209,39289796017,1711109504390
gauss-mix,1440641837,40752116581,1711109504390
gauss-mix,1399108812,42250667006,1711109504390
gauss-mix,1370783677,43690003965,1711109504390
gauss-mix,1318076671,45117378294,1711109504390
gauss-mix,1339117665,46500605869,1711109504390
gauss-mix,1447212323,47897346248,1711109504390
gauss-mix,1570136277,49410267750,1711109504390
gauss-mix,1667850953,51037481424,1711109504390
gauss-mix,1472585334,52764302655,1711109504390
gauss-mix,1484899027,54304379538,1711109504390
gauss-mix,1534370581,55843761543,1711109504390
gauss-mix,1355474277,57436627816,1711109504390
gauss-mix,1338830234,58850819948,1711109504390
gauss-mix,1357910037,60249426016,1711109504390
gauss-mix,1327287479,61665003000,1711109504390
gauss-mix,1333095877,63046854653,1711109504390
gauss-mix,1337348735,64441138244,1711109504390
gauss-mix,1340518370,65828815798,1711109504390
gauss-mix,1358664789,67239360195,1711109504390
