benchmark,duration_ns,uptime_ns,vm_start_unix_ms
gauss-mix,3268877724,2263216905,1711109688226
gauss-mix,1890404610,5599645068,1711109688226
gauss-mix,1815827992,7567373987,1711109688226
gauss-mix,1721152038,9445538129,1711109688226
gauss-mix,1681415071,11237055551,1711109688226
gauss-mix,1724965836,12984254097,1711109688226
gauss-mix,1665504989,14773330004,1711109688226
gauss-mix,1685809121,16493178114,1711109688226
gauss-mix,1363465977,18233637602,1711109688226
gauss-mix,1368511241,19651747794,1711109688226
gauss-mix,1244611911,21081620669,1711109688226
gauss-mix,1336705389,22383398047,1711109688226
gauss-mix,1313546452,23779198450,1711109688226
gauss-mix,1589563909,25148888091,1711109688226
gauss-mix,1424079162,26800074745,1711109688226
gauss-mix,1377640229,28281211260,1711109688226
gauss-mix,1331333343,29714063222,1711109688226
gauss-mix,1242505806,31103977576,1711109688226
gauss-mix,1272092762,32410440867,1711109688226
gauss-mix,1257069881,33737280170,1711109688226
gauss-mix,1282247907,35050347154,1711109688226
gauss-mix,1206532767,36399238100,1711109688226
gauss-mix,1134374738,37660146999,1711109688226
gauss-mix,1193909511,38850820741,1711109688226
gauss-mix,1189657621,40098521301,1711109688226
gauss-mix,1188399670,41346844480,1711109688226
gauss-mix,1272328240,42592367766,1711109688226
gauss-mix,1176413378,43922540469,1711109688226
gauss-mix,1315504436,45158271583,1711109688226
gauss-mix,1077735134,46538608853,1711109688226
gauss-mix,1254964624,47672874981,1711109688226
gauss-mix,1229524502,48976919300,1711109688226
gauss-mix,1172091707,50266960317,1711109688226
gauss-mix,1207423184,51499688259,1711109688226
gauss-mix,1201214534,52765261196,1711109688226
gauss-mix,1113631081,54016739610,1711109688226
gauss-mix,1203799352,55195329533,1711109688226
gauss-mix,1236903963,56458936946,1711109688226
gauss-mix,1168871768,57756249719,1711109688226
gauss-mix,1149109505,58983638539,1711109688226
