benchmark,duration_ns,uptime_ns,vm_start_unix_ms
gauss-mix,3023340162,2383730781,1711109984605
gauss-mix,1738634950,5474626036,1711109984605
gauss-mix,1630747209,7282555744,1711109984605
gauss-mix,1529033846,8983772891,1711109984605
gauss-mix,1721733198,10589382088,1711109984605
gauss-mix,1489309459,12374037056,1711109984605
gauss-mix,1724429208,13926652052,1711109984605
gauss-mix,1692468843,15712084457,1711109984605
gauss-mix,1484800976,17465730137,1711109984605
gauss-mix,1427368200,19011619671,1711109984605
gauss-mix,1348039500,20493985251,1711109984605
gauss-mix,1388976914,21901523318,1711109984605
gauss-mix,1415361782,23346096131,1711109984605
gauss-mix,1403654212,24816066914,1711109984605
gauss-mix,1426340659,26284655145,1711109984605
gauss-mix,1365640278,27767935189,1711109984605
gauss-mix,1236588320,29189559498,1711109984605
gauss-mix,1155589386,30482409831,1711109984605
gauss-mix,1377095798,31702149784,1711109984605
gauss-mix,1174277501,33137407844,1711109984605
gauss-mix,1307623952,34352233368,1711109984605
gauss-mix,1271397833,35717192267,1711109984605
gauss-mix,1238158290,37054837287,1711109984605
gauss-mix,1324653377,38406608572,1711109984605
gauss-mix,1178475359,39805614738,1711109984605
gauss-mix,1117307659,41036279064,1711109984605
gauss-mix,1194719577,42210865509,1711109984605
gauss-mix,1271412822,43470420165,1711109984605
gauss-mix,1346932173,44799377674,1711109984605
gauss-mix,1235249283,46204435796,1711109984605
gauss-mix,1280262103,47500368909,1711109984605
gauss-mix,1257930837,48828774529,1711109984605
gauss-mix,1201058278,50141004961,1711109984605
gauss-mix,1122899150,51403229645,1711109984605
gauss-mix,1224023266,52585981899,1711109984605
gauss-mix,1081768199,53851632830,1711109984605
gauss-mix,1212653921,54976615564,1711109984605
gauss-mix,1095770952,56249925178,1711109984605
gauss-mix,1086757379,57403522737,1711109984605
gauss-mix,1092679122,58545727231,1711109984605
