benchmark,duration_ns,uptime_ns,vm_start_unix_ms
gauss-mix,3263091157,2244152427,1711109865037
gauss-mix,1717426384,5575529774,1711109865037
gauss-mix,1713194159,7361789904,1711109865037
gauss-mix,1715709718,9137675665,1711109865037
gauss-mix,1787510210,10920659709,1711109865037
gauss-mix,1512402656,12773279202,1711109865037
gauss-mix,1533727946,14351399241,1711109865037
gauss-mix,1479021688,15951981512,1711109865037
gauss-mix,1505785726,17489266405,1711109865037
gauss-mix,1417909108,19083246737,1711109865037
gauss-mix,1387908252,20561157909,1711109865037
gauss-mix,1374435449,22011076542,1711109865037
gauss-mix,1293448177,23445579919,1711109865037
gauss-mix,1641341959,24798099258,1711109865037
gauss-mix,1340759259,26508239214,1711109865037
gauss-mix,1242024492,27911536755,1711109865037
gauss-mix,1223906824,29214103947,1711109865037
gauss-mix,1226182463,30506748667,1711109865037
gauss-mix,1470514174,31794321560,1711109865037
gauss-mix,1306649379,33335448940,1711109865037
gauss-mix,1186381746,34711594359,1711109865037
gauss-mix,1226923378,35967628124,1711109865037
gauss-mix,1214767691,37256648374,1711109865037
gauss-mix,1139944005,38541439179,1711109865037
gauss-mix,1136428600,39752843814,1711109865037
gauss-mix,1210943565,40952855212,1711109865037
gauss-mix,1159625914,42221431472,1711109865037
gauss-mix,1239807781,43443935957,1711109865037
gauss-mix,1388434126,44756160002,1711109865037
gauss-mix,1193450331,46202388531,1711109865037
gauss-mix,1220053788,47468127816,1711109865037
gauss-mix,1087278922,48751078395,1711109865037
gauss-mix,1126307752,49901358054,1711109865037
gauss-mix,1081063417,51086231581,1711109865037
gauss-mix,1213614771,52230359329,1711109865037
gauss-mix,1251749115,53507971428,1711109865037
gauss-mix,1164945889,54825822657,1711109865037
gauss-mix,1108104611,56029121142,1711109865037
gauss-mix,1077460732,57212665426,1711109865037
gauss-mix,1112634327,58358565252,1711109865037
