benchmark,duration_ns,uptime_ns,vm_start_unix_ms
gauss-mix,3141404390,2266402519,1711110100461
gauss-mix,1838952136,5475144335,1711110100461
gauss-mix,1719881180,7382548028,1711110100461
gauss-mix,1637741916,9172812684,1711110100461
gauss-mix,1525429329,10878824503,1711110100461
gauss-mix,1659357603,12468837961,1711110100461
gauss-mix,1503819310,14192779887,1711110100461
gauss-mix,1447985328,15756357952,1711110100461
gauss-mix,1408912594,17265894682,1711110100461
gauss-mix,1618458397,18741530972,1711110100461
gauss-mix,1341806863,20437377533,1711110100461
gauss-mix,1393714293,21838506753,1711110100461
gauss-mix,1424135150,23300172371,1711110100461
gauss-mix,1356477962,24785362690,1711110100461
gauss-mix,1559330025,26208573338,1711110100461
gauss-mix,1394496862,27883873571,1711110100461
gauss-mix,1262465146,29338035258,1711110100461
gauss-mix,1280553872,30660808935,1711110100461
gauss-mix,1452644201,32015247183,1711110100461
gauss-mix,1429041399,33536347745,1711110100461
gauss-mix,1240302099,35025710100,1711110100461
gauss-mix,1210746502,36330184523,1711110100461
gauss-mix,1220882195,37610411288,1711110100461
gauss-mix,1213922979,38891146332,1711110100461
gauss-mix,1178724285,40167266105,1711110100461
gauss-mix,1140112563,41416156128,1711110100461
gauss-mix,1260769586,42624452943,1711110100461
gauss-mix,1227982653,43947661335,1711110100461
gauss-mix,1288520696,45237771945,1711110100461
gauss-mix,1129362974,46601919001,1711110100461
gauss-mix,1114797056,47794346921,1711110100461
gauss-mix,1099137512,48972075630,1711110100461
gauss-mix,1148145824,50133169141,1711110100461
gauss-mix,1249494665,51343476912,1711110100461
gauss-mix,1108682882,52666807073,1711110100461
gauss-mix,1091704193,53841116724,1711110100461
gauss-mix,1088629589,54997250138,1711110100461
gauss-mix,1142240827,56149954562,1711110100461
gauss-mix,1225497683,57366422276,1711110100461
gauss-mix,1131238726,58657602343,1711110100461
