benchmark,duration_ns,uptime_ns,vm_start_unix_ms
gauss-mix,3202755817,2246502575,1711110222310
gauss-mix,1770390083,5515994856,1711110222310
gauss-mix,1676810954,7354577536,1711110222310
gauss-mix,1504079106,9108917997,1711110222310
gauss-mix,1499545991,10688491471,1711110222310
gauss-mix,1713752776,12262151700,1711110222310
gauss-mix,1526010261,14039476343,1711110222310
gauss-mix,1482374803,15622386231,1711110222310
gauss-mix,1485991096,17153342991,1711110222310
gauss-mix,1431043946,18687480996,1711110222310
gauss-mix,1410571136,20173972282,1711110222310
gauss-mix,1381845974,21647715657,1711110222310
gauss-mix,1427782286,23088241743,1711110222310
gauss-mix,1578030953,24623055075,1711110222310
gauss-mix,1445978083,26252618067,1711110222310
gauss-mix,1282159519,27749702220,1711110222310
gauss-mix,1386421501,29152869797,1711110222310
gauss-mix,1274276120,30589544280,1711110222310
gauss-mix,1193626900,31915501306,1711110222310
gauss-mix,1203473380,33160261549,1711110222310
gauss-mix,1247888091,34422105947,1711110222310
gauss-mix,1146204951,35729250183,1711110222310
gauss-mix,1120961649,36926928881,1711110222310
gauss-mix,1132817841,38099926730,1711110222310
gauss-mix,1201667741,39283738458,1711110222310
gauss-mix,1211632584,40537858958,1711110222310
gauss-mix,1260278095,41808126752,1711110222310
gauss-mix,1181391544,43120594392,1711110222310
gauss-mix,1329469898,44355368152,1711110222310
gauss-mix,1207307729,45738405884,1711110222310
gauss-mix,1154074688,47000075436,1711110222310
gauss-mix,1205617729,48207115411,1711110222310
gauss-mix,1112371960,49465802312,1711110222310
gauss-mix,1273705350,50632515559,1711110222310
gauss-mix,1190342576,51960728580,1711110222310
gauss-mix,1181185063,53202865895,1711110222310
gauss-mix,1228945384,54426725505,1711110222310
gauss-mix,1228534544,55700953289,1711110222310
gauss-mix,1246752814,56976979369,1711110222310
gauss-mix,1246014395,58286418524,1711110222310
