benchmark,duration_ns,uptime_ns,vm_start_unix_ms
log-regression,5290015635,3013106413,1711106684253
log-regression,1834259681,8375419893,1711106684253
log-regression,1719076290,10282157977,1711106684253
log-regression,1685276241,12074728080,1711106684253
log-regression,1673374696,13830181041,1711106684253
log-regression,1557638146,15578591612,1711106684253
log-regression,1436116172,17220397435,1711106684253
log-regression,1432815380,18732943617,1711106684253
log-regression,1392853576,20242304474,1711106684253
log-regression,1437607023,21707898945,1711106684253
log-regression,1553785891,23215292647,1711106684253
log-regression,1541929638,24832716898,1711106684253
log-regression,1465485381,26458089478,1711106684253
log-regression,1432020726,27989942564,1711106684253
log-regression,1477996863,29485545849,1711106684253
log-regression,1446245392,31024980514,1711106684253
log-regression,1434485245,32535329870,1711106684253
log-regression,1374702263,34032183596,1711106684253
log-regression,1454807120,35468666344,1711106684253
log-regression,1431085087,36997877144,1711106684253
