benchmark,duration_ns,uptime_ns,vm_start_unix_ms
log-regression,5252665616,2878524460,1711106764263
log-regression,1875227453,8206197800,1711106764263
log-regression,1738778642,10159135359,1711106764263
log-regression,1788141810,11968151650,1711106764263
log-regression,1673328252,13839457646,1711106764263
log-regression,1569694339,15584435142,1711106764263
log-regression,1506871732,17251860656,1711106764263
log-regression,1491301640,18832892556,1711106764263
log-regression,1499819662,20410392567,1711106764263
log-regression,1447423091,21990471776,1711106764263
log-regression,1467130653,23507781409,1711106764263
log-regression,1532852592,25039543787,1711106764263
log-regression,1483380279,26650478008,1711106764263
log-regression,1492212846,28201759098,1711106764263
log-regression,1498190508,29759615837,1711106764263
log-regression,1559250121,31320759133,1711106764263
log-regression,1418122357,32952810853,1711106764263
log-regression,1464322600,34431627204,1711106764263
log-regression,1458639246,35955962320,1711106764263
log-regression,1452162060,37576998353,1711106764263
