benchmark,duration_ns,uptime_ns,vm_start_unix_ms
log-regression,5218621748,3057998563,1711106883946
log-regression,1884148820,8349946249,1711106883946
log-regression,1676982331,10312253015,1711106883946
log-regression,1764091500,12064805495,1711106883946
log-regression,1634675593,13905163195,1711106883946
log-regression,1556452334,15609790717,1711106883946
log-regression,1495493019,17254541920,1711106883946
log-regression,1473658635,18824982459,1711106883946
log-regression,1503233223,20375017294,1711106883946
log-regression,1461651447,21952914890,1711106883946
log-regression,1576620607,23486059460,1711106883946
log-regression,1507096773,25125352912,1711106883946
log-regression,1547951501,26700430850,1711106883946
log-regression,1540011757,28315540599,1711106883946
log-regression,2121043120,29919933578,1711106883946
log-regression,1619914255,32158991750,1711106883946
log-regression,1531987300,33857065000,1711106883946
log-regression,1508390202,35456175276,1711106883946
log-regression,1499499902,37033181939,1711106883946
log-regression,1459588151,38600776352,1711106883946
