benchmark,duration_ns,uptime_ns,vm_start_unix_ms
log-regression,5130476649,3119725456,1711106964694
log-regression,1885499419,8331671107,1711106964694
log-regression,1772256203,10291146655,1711106964694
log-regression,1706161882,12143620813,1711106964694
log-regression,1643044950,13927174572,1711106964694
log-regression,1548357144,15660021818,1711106964694
log-regression,1538665019,17297474888,1711106964694
log-regression,1514546433,18953718401,1711106964694
log-regression,1456925046,20534023825,1711106964694
log-regression,1484099349,22051499925,1711106964694
log-regression,1532195537,23608154565,1711106964694
log-regression,1569009844,25201363113,1711106964694
log-regression,1621921541,26835731356,1711106964694
log-regression,1545260211,28526213679,1711106964694
log-regression,1753609950,30139468499,1711106964694
log-regression,1951388496,31974881314,1711106964694
log-regression,1567466100,34001518719,1711106964694
log-regression,1469325903,35634564729,1711106964694
log-regression,1510213743,37169578240,1711106964694
log-regression,1540636038,38755170307,1711106964694
