benchmark,duration_ns,uptime_ns,vm_start_unix_ms
log-regression,5313642301,2947562195,1711107045076
log-regression,1910796590,8339293923,1711107045076
log-regression,1744563501,10326077255,1711107045076
log-regression,1715746193,12154907249,1711107045076
log-regression,1744030010,13992133031,1711107045076
log-regression,1550185594,15808690485,1711107045076
log-regression,1478567622,17426697598,1711107045076
log-regression,1450803723,18973274381,1711107045076
log-regression,1456969816,20486020054,1711107045076
log-regression,1459323130,22003285333,1711107045076
log-regression,1545856601,23523122817,1711107045076
log-regression,1505251510,25127874468,1711107045076
log-regression,1424567327,26712481992,1711107045076
log-regression,1466125958,28216057584,1711107045076
log-regression,1416925358,29743341630,1711107045076
log-regression,1912231799,31224707581,1711107045076
log-regression,1621869436,33216797424,1711107045076
log-regression,1566108492,34901081232,1711107045076
log-regression,1547186956,36542825104,1711107045076
log-regression,1519507862,38158190666,1711107045076
