benchmark,duration_ns,uptime_ns,vm_start_unix_ms
log-regression,5380015377,3260503314,1711107167379
log-regression,1970568638,8721524002,1711107167379
log-regression,1780654316,10768215611,1711107167379
log-regression,1780626020,12625406610,1711107167379
log-regression,1795393146,14491190758,1711107167379
log-regression,1599413526,16377417989,1711107167379
log-regression,1629713282,18051849034,1711107167379
log-regression,1574880471,19762189019,1711107167379
log-regression,1572248587,21432812988,1711107167379
log-regression,1642645456,23073144668,1711107167379
log-regression,1669379786,24781155482,1711107167379
log-regression,1480318698,26518039370,1711107167379
log-regression,1495686089,28076066917,1711107167379
log-regression,1742266206,29639107213,1711107167379
log-regression,1914950085,31454330438,1711107167379
log-regression,1689327943,33442603476,1711107167379
log-regression,1603312594,35202409774,1711107167379
log-regression,1533195669,36872336891,1711107167379
log-regression,1557018615,38478216023,1711107167379
log-regression,1551931791,40121945324,1711107167379
