benchmark,duration_ns,uptime_ns,vm_start_unix_ms
log-regression,5214338050,3472528310,1711107300742
log-regression,1862915790,8768407672,1711107300742
log-regression,1696639956,10704815237,1711107300742
log-regression,1664103449,12473187032,1711107300742
log-regression,1625590464,14213788808,1711107300742
log-regression,1502595226,15917743562,1711107300742
log-regression,1465023881,17505084739,1711107300742
log-regression,1460594241,19041248978,1711107300742
log-regression,1480637394,20592732802,1711107300742
log-regression,1454448330,22159365892,1711107300742
log-regression,1623701500,23685788265,1711107300742
log-regression,1434609801,25373047603,1711107300742
log-regression,1528668554,26872998007,1711107300742
log-regression,1551519215,28483391811,1711107300742
log-regression,1517598042,30097961893,1711107300742
log-regression,1445481165,31683343233,1711107300742
log-regression,1436205436,33189781545,1711107300742
log-regression,1404132997,34690504338,1711107300742
log-regression,1383576225,36168853008,1711107300742
log-regression,1363361537,37613984743,1711107300742
