benchmark,duration_ns,uptime_ns,vm_start_unix_ms
log-regression,5449999510,3291760468,1711107248863
log-regression,2289759488,8828126998,1711107248863
log-regression,2181113373,11204582094,1711107248863
log-regression,2148037563,13475149959,1711107248863
log-regression,2144740787,15713635025,1711107248863
log-regression,2078151455,17954851762,1711107248863
log-regression,2104024450,20122840427,1711107248863
log-regression,2018337029,22325040478,1711107248863
log-regression,2058162591,24433790377,1711107248863
log-regression,2019218591,26583769769,1711107248863
log-regression,2025279535,28672961676,1711107248863
log-regression,2056638138,30768490390,1711107248863
log-regression,2539603687,32902101475,1711107248863
log-regression,2410055829,35531438403,1711107248863
log-regression,2413666439,38021368750,1711107248863
log-regression,2185086505,40513068719,1711107248863
log-regression,2207495214,42791480383,1711107248863
log-regression,2193387498,45070919210,1711107248863
log-regression,2148650326,47343908462,1711107248863
log-regression,2188993992,49563672693,1711107248863
