benchmark,duration_ns,uptime_ns,vm_start_unix_ms
log-regression,5448289562,3387959158,1711107420266
log-regression,1789457472,8912204294,1711107420266
log-regression,1690767541,10781040299,1711107420266
log-regression,1614429125,12544717012,1711107420266
log-regression,1687117861,14230540125,1711107420266
log-regression,1519968587,15997921199,1711107420266
log-regression,1675501079,17590164500,1711107420266
log-regression,1579534761,19343634024,1711107420266
log-regression,1420353531,20987462438,1711107420266
log-regression,1528933857,22472085765,1711107420266
log-regression,1603532635,24061572787,1711107420266
log-regression,1462378709,25725390385,1711107420266
log-regression,1445065722,27254956503,1711107420266
log-regression,1471527716,28764636658,1711107420266
log-regression,2039927261,30305194595,1711107420266
log-regression,1734828579,32425734418,1711107420266
log-regression,1607874526,34226394415,1711107420266
log-regression,1447852577,35895283351,1711107420266
log-regression,1553932508,37414568468,1711107420266
log-regression,1484080785,39039747505,1711107420266
